Nº PROJETO;TÍTULO;EMPRESA PETROLÍFERA;DATA DE INÍCIO;DATA DE TÉRMINO;EMPRESA BRASILEIRA EXECUTORA;INSTITUIÇÃO CREDENCIADA EXECUTORA;AUTORIZAÇÃO;DATA DE PUBLICAÇÃO
16263-6;Estudo sobre a inalação de fumos de asfalto: metodologia para análise e caracterização do asfalto brasileiro.;Petrobras;27/09/2006;20/10/2009;-;UFSM;-;-
16264-4;Avaliação da capacidade de suporte dos corpos receptores das Unidades de Negócio da Petrobras – Abastecimento.;Petrobras;27/09/2006;26/03/2008;-;USP;-;-
16265-1;Apoio para realização de análises de Risers Flexiveis;Petrobras;28/09/2006;25/01/2007;-;UFRJ;-;-
16266-9;Sistematização de Gestão do Conhecimento para o Projeto Cognitus II.;Petrobras;28/09/2006;26/12/2007;-;UFRJ;-;-
16267-7;Caracterização volumetria de reservatório multicamada utilizando programa isatoil;Petrobras;28/09/2006;16/09/2008;-;UNICAMP;-;-
16268-5;Diagrama de offsets da P-20;Petrobras;28/09/2006;26/03/2007;-;UFRJ;-;-
16269-3;Eficácia do Chlor Rid na descontaminação do aço;Petrobras;02/10/2006;29/05/2007;-;INT;-;-
16270-1;Simulação dinâmica de equipamentos de separação em plataformas de petróleo;Petrobras;02/10/2006;26/09/2007;-;UFRJ;-;-
16271-9;Estudo da corrosão pelo CO2/H2S e testes de inibidores de corrosão;Petrobras;02/10/2006;29/01/2007;-;UFRJ;-;-
16272-7;Implantação, Desenvolvimento e Preenchimento de Vales Incisos na Porção Sul da Planície Costeira do Rio Grande do Sul;Petrobras;02/10/2006;30/09/2008;-;UFRGS;-;-
16273-5;Elaboração de protocolos metodológicos para estudos de monitoramento oceanográfico - piatam mar II;Petrobras;05/10/2006;29/02/2008;-;UFPA;-;-
16274-3;Integração digital de dados socioambientais da zona costeira amazônica - projeto piatam mar II;Petrobras;05/10/2006;03/10/2008;-;UFPA;-;-
16275-0;Análise de viabilidade de risers para a monobr com completação seca;Petrobras;06/10/2006;03/04/2007;-;UFRJ;-;-
16276-8;Obtenção e caracterização de emulsões para uso em recuperação avançada de petróleo ;Petrobras;09/10/2006;20/03/2013;-;UFS;-;-
16277-6;Desenvolvimento de sistemas a base de tensoativos para recuperação avançada de petróleo;Petrobras;09/10/2006;17/09/2011;-;UFRN;-;-
16278-4;Avaliação de sistemas poliméricos em recuperação aumentada de petróleo;Petrobras;09/10/2006;11/12/2011;-;UFRN;-;-
16279-2;Desenvolvimento e aplicação de metodologia para integração geológica das Bacias de Pernambuco e Norte de Alagoas;Petrobras;09/10/2006;31/03/2008;-;UFPE;-;-
16280-0;Desenvolvimento de Equipamento para medição quantitativa em campo de sensitização em aços inoxidáveis;Petrobras;10/10/2006;08/10/2008;-;UFC;-;-
16281-8;Instalação de um sistema de bombeio mecânico em modelo reduzido;Petrobras;10/10/2006;14/08/2008;-;UFBA;-;-
16282-6;Serviços de aquisição de direitos de uso de base de dados BAMPETRO, de propriedade do Observatório Nacional.;Petrobras;11/10/2006;10/10/2007;-;ON;-;-
16283-4;Desenvolvimento de kit de conversão diesel / gás para motores diesel : aplicações ao transporte ferroviário;Petrobras;11/10/2006;10/10/2007;-;PUC-RIO;-;-
16284-2;Desenvolvimento da tecnologia para inspeção e monitoração das conexões de risers flexíveis das plataformas de produção de petróleo - Projeto Monflex;Petrobras;17/10/2006;29/03/2011;-;PUC-RIO;-;-
16285-9;Serviço de sistema inteligente híbrido de auxílio à determinação de eletrofacies e identificação da estrutura litológica -fase III;Petrobras;18/10/2006;14/04/2008;-;ILTC;-;-
16286-7;Fabricação da maquete de exposição da plataforma MonoBR ( MPSO ) em escala 1:200;Petrobras;19/10/2006;16/04/2007;-;EMGEPRON;-;-
16287-5;Desenvolvimento de tecnologias para campos maduros de petróleo: PVT, métodos miscíveis de recuperação, elevação e escoamento, e desparafinação através de radiação eletromagnética;Petrobras;20/10/2006;30/06/2010;-;UNIFACS;-;-
16288-3;Estudos de modelagem e simulação numérica de processos de recuperação terciária em reservatórios de petróleo;Petrobras;20/10/2006;01/04/2010;-;UFPE;-;-
16289-1;Análises químicas para a rede de análises do Cenpes;Petrobras;23/10/2006;22/10/2007;-;UFRJ;-;-
16290-9;Consultoria para construção da tubulação da monobóia SBM II;Petrobras;23/10/2006;20/01/2007;-;UFRJ;-;-
16291-7;Construção de um portal de acesso para o PDEXP;Petrobras;24/10/2006;30/06/2007;-;UNIRIO;-;-
16292-5;Serviços para Pesquisa de Percepção Durante o 1º Congresso Internacional Sobre Seqüestro de Carbono e Mudança Climática.;Petrobras;24/10/2006;21/01/2007;-;ECOPLAN;-;-
16293-3;Estudo de utilização de biossurfactante na extração do petróleo oriundo de campos maduros;Petrobras;26/10/2006;06/04/2014;-;UFS;-;-
16294-1;Desenvolvimento de métodos analíticos e caracterização de produtos de petróleo;Petrobras;30/10/2006;28/12/2006;-;UFRJ;-;-
16295-8;Análises físico químicas em petróleo e derivados;Petrobras;31/10/2006;28/04/2007;-;UFRJ;-;-
16296-6;Ensaios complementares com modelo reduzido da configuração escolhida para lançamento pendular do MSGL 2 de roncador na escala 1:35;Petrobras;31/10/2006;14/11/2006;-;UFRJ;-;-
16297-4;Laboratório de microscopia eletrônica de varredura e de transmissão;Petrobras;31/10/2006;30/10/2007;-;PUC-RIO;-;-
16298-2;Desenvolvimento de técnicas de sensoriamento óptico de ph em poços de petróleo;Petrobras;01/11/2006;31/10/2007;-;PUC-RIO;-;-
16299-0;Estudo sobre selênio total e de suas espécies químicas em efluentes e outras amostras.;Petrobras;01/11/2006;21/08/2009;-;PUC-RIO;-;-
16300-6;Análise de viabilidade de mitigação de gee na cogeração Cenpes por meio de redução das emissões de metano de biogás em aterro sanitário;Petrobras;01/11/2006;28/06/2007;-;UFRJ;-;-
16301-4;Ensaio de airgap da P-18;Petrobras;06/11/2006;04/05/2007;-;USP;-;-
16302-2;Alternativas para construção e deck mating da plataforma monobr;Petrobras;06/11/2006;05/11/2007;-;UFRJ;-;-
16303-0;Estudo de formação de depósitos inorgânicos superficiais em substratos metálicos;Petrobras;07/11/2006;04/02/2008;-;UFRJ;-;-
16304-8;Desenvolvimento de algoritmos de controle para métodos de elevação artificial;Petrobras;09/11/2006;08/05/2009;-;UFSC;-;-
16305-5;Compilação e editoração dos dados gerados pelo programa revizee - score sul;Petrobras;09/11/2006;06/02/2008;-;USP;-;-
16306-3;Estudo da remoção de selênio por co-precipitação com ferro III nas amostras da bacia 24 e da bacia 37;Petrobras;09/11/2006;08/11/2007;-;PUC-RIO;-;-
16307-1;Desenvolvimento de Metodologias Otimizadas, Utilizando Técnicas de Análise Térmica que Permitam a Caracterização de Petróleo e Suas Frações;Petrobras;10/11/2006;07/05/2010;-;UFF;-;-
16308-9;Determinação de coeficientes de amortecimento a partir de ensaios com modelo de mono-coluna;Petrobras;14/11/2006;05/06/2008;-;UFRJ;-;-
16309-7;Contratação de serviços para análise de falha do duto São Sebastião-Cubatão;Petrobras;14/11/2006;12/04/2007;-;UFRJ;-;-
16310-5;Desenvolvimento de métodos voltamétricos para aplicação em amostras aquosas de interessa da indústria do petróleo;Petrobras;16/11/2006;14/11/2008;-;UFF;-;-
16311-3;Preparo de nanocatalisadores de pd, pt, e co para aplicação na síntese f-t e hidroisomerização - parte II;Petrobras;16/11/2006;30/10/2009;-;UFRGS;-;-
16312-1;Suporte em atividades de P&D ligadas ao comissionamento de novos sistemas em fase de testes;Petrobras;17/11/2006;15/11/2008;-;ITP;-;-
16313-9;Estudo bibliográfico sobre estimativa de fator de recuperação de campos de petróleo;Petrobras;17/11/2006;15/07/2007;-;UNICAMP;-;-
16314-7;Estudo detalhado das regiões de conexões do riser híbrido alto-sustentável para águas ultra-profundas;Petrobras;17/11/2006;26/07/2008;-;UNICAMP;-;-
16315-4;Desenvolvimento de metodologia para determinação e utilização de saturação residual de óleo em campos maduros;Petrobras;21/11/2006;17/07/2008;-;UNICAMP;-;-
16316-2;Testes de fluxo de inibidores de incrustação;Petrobras;21/11/2006;30/10/2010;-;UFRN;-;-
16317-0;Otimização do funcionamento da UFFtec, com a construção de sua sede.;Petrobras;22/11/2006;13/01/2013;-;UFF;-;-
16318-8;Desenvolvimento de Células Solares de Filmes Finos de Cds/cdte em um Sistema CSS.;Petrobras;27/11/2006;23/07/2009;-;IME;-;-
16319-6;Desenvolvimento de metodologia analítica para análises de águas de produção pela técnica de espectrometria de fluorescência de raios x, visando atender a legislação conama;Petrobras;27/11/2006;24/05/2009;-;INT;-;-
16320-4;Caracterização oceanográfica da corrente do Brasil na bacia de santos utilizando xbt, ctd, adcp de caso e lowered-adcp;Petrobras;27/11/2006;31/01/2014;-;USP;-;-
16321-2;Desenvolvimento e aplicação de metodologias analíticas para caracterização geoquímica de águas associadas ao petróleo ;Petrobras;27/11/2006;04/05/2011;-;PUC-RIO;-;-
16322-0;Instalação de estação piloto de monitoramento de qualidade do ar para validação de modelos ambientais;Petrobras;28/11/2006;20/05/2008;-;INPE;-;-
16323-8;Estudo experimental sobre o efeito do escoamento através de singularidades na formação de emulsões de água em óleo;Petrobras;29/11/2006;24/08/2008;-;UNIFEI;-;-
16324-6;Implementação e desenvolvimento de metodologias para determinação de metais e compostos de enxofre em óleos extra pesados, pesados e derivados.;Petrobras;29/11/2006;27/11/2008;-;UFES;-;-
16325-3;Modelagem de efeitos de esteira de correnteza em simulações dinâmicas de sistemas FPSO-Aliviador;Petrobras;01/12/2006;02/08/2008;-;ABIPTI;-;-
16326-1;Sistema computacional para a simulação dinâmica de cravação de estacas de ancoragem para plataformas fixas;Petrobras;04/12/2006;03/12/2007;-;PUC-RIO;-;-
16327-9;Determinaçao de viscosidade inerente corrigida em poliamida -1 1;Petrobras;05/12/2006;27/05/2010;-;UERJ;-;-
16328-7;Determinação de geometria de fratura através de microssismicidade induzida;Petrobras;05/12/2006;07/11/2013;-;UFRN;-;-
16329-5;Desenvolvimento de processos biotecnológicos para recuperação de petróleo em campos maduros através da bioprospecção e bioestimulação da microbiota petrobiótica autóctone;Petrobras;06/12/2006;19/11/2011;-;UFBA;-;-
16330-3;Desenvolvimento de um sistema para modelagem e integração do conhecimento especialista;Petrobras;06/12/2006;30/05/2011;-;UFBA;-;-
16331-1;ADD-RPD: Sistema inteligente para reconhecimento de padrões de defeitos em motobombas;Petrobras;06/12/2006;18/05/2011;-;UFES;-;-
16332-9;Recuperação avançada de petróleo pela injeção de glicerina bruta ( GB ), co-produto da produção de biodiesel;Petrobras;06/12/2006;22/05/2010;-;UFBA;-;-
16333-7;Desenvolvimento de materiais poliméricos para controle de mobilidade de água e seqüestro de H2S;Petrobras;06/12/2006;16/11/2012;-;UFRJ;-;-
16334-5;Caracterização geoquímica de amostras de óleo em relação á qualidade e origem através do método de cromatografia gasosa utilizando o software carburane;Petrobras;06/12/2006;05/12/2007;-;UFRJ;-;-
16335-2;Pesquisa e desenvolvimento de remoção de contaminantes inorgânicos em águas produzidas em atividades petrolíferas-aguapetro;Petrobras;07/12/2006;01/09/2009;-;UFRN;-;-
16336-0;Simulação numérica dos risers da FPSO P-34;Petrobras;07/12/2006;29/12/2008;-;USP;-;-
16337-8;Estudo da eficiência agrônomica de misturas granuladas NK e NS.;Petrobras;08/12/2006;04/12/2008;-;UFRRJ;-;-
16338-6;Desenvolvimento de estruturas de dados e algoritmos para o processamento de malhas numéricas geológicas - SimBR;Petrobras;08/12/2006;06/12/2008;-;UFRJ;-;-
16339-4;Desenvolvimento e avaliação de consumíveis para soldagem molhada – Projeto CSM;Petrobras;11/12/2006;31/08/2008;-;PUC-RIO;-;-
16340-2;Estudo de fratura assistida pelo meio ambiente;Petrobras;11/12/2006;31/08/2008;-;UFRGS;-;-
16341-0;Estudo do lodo residual gerado em estação de tratamento de efluentes (ETE) e despejo industrial (ETDI) da Petrobras pela técnica GC / MS / MS / FID / ECD / TCD (ion trap) - Influência na obtenção de produtos aplicáveis a partir da aplicação do processo ;Petrobras;11/12/2006;09/12/2008;-;UFT;-;-
16342-8;Desenvolvimento de um sistema de inspeção e monitoramento de risers flexíveis;Petrobras;11/12/2006;09/12/2009;-;UFRGS;-;-
16343-6;ESTUDO E AVALIAÇAO DA GRANULAÇAO POR PELOTIZAÇÃO DE COMPOSTOS BINARIOS DE UREIA COM SULFATO DE AMÕNIO E UREIA COM CLORETO DE POTASSIO.;Petrobras;12/12/2006;11/10/2007;-;IPT;-;-
16344-4;Projeto e construção de circuito piloto de 14” de diâmetro para ensaios e pesquisas.;Petrobras;13/12/2006;20/01/2012;-;CTDUT;-;-
16345-1;Ensaios de fadiga em protótipo de enrijecedor de flexão DCDE para duto de 6 polegadas;Petrobras;14/12/2006;07/12/2008;-;UFRGS;-;-
16346-9;Migração sísmica 3D por diferenças e elementos finitos empregando cluster de computadores pessoais;Petrobras;14/12/2006;03/01/2008;-;UFRJ;-;-
16347-7;Avaliação técnica do processo coalescência-redispersão em escoamentos de emulsões água em óleo - Etapa 2;Petrobras;18/12/2006;11/12/2008;-;UFRJ;-;-
16348-5;Desenvolvimento de metodologias para a otimização da logística de distribuição de petróleo e derivados da Petrobras;Petrobras;18/12/2006;14/06/2008;-;PUC-RIO;-;-
16349-3;Estudo Cinético da Inibição de Incrustação na Produção de Óleos Pesados;Petrobras;18/12/2006;18/12/2009;-;UFRJ;-;-
16350-1;Adequação de Metodologia para Obtenção de Curvas PEV para Óleos Pesados e Extra-Pesados;Petrobras;18/12/2006;18/12/2010;-;UFES;-;-
16351-9;FINEP - Avaliação do Potencial Gaseífero das Bacias Sedimentares Brasileiras - Fase I;Petrobras;18/12/2006;18/03/2009;-;UFRJ;-;-
16352-7;Desenvolvimento de tecnologia de extensômetros a rede de bragg em fibra óptica para monitoramento de deformações e corrosão de longos trechos de dutos;Petrobras;19/12/2006;19/11/2014;-;CTDUT;-;-
16353-5;Instalação de liner polimérico para recuperação de dutos - transporte hidrocarbonetos;Petrobras;19/12/2006;19/11/2014;-;CTDUT;-;-
16354-3;Modelagem e simulação de um sistema georreferenciamento de dutos;Petrobras;19/12/2006;19/12/2012;-;CTDUT;-;-
16355-0;Serviços sobre estratégia operacional e genética para diminuição de fatores de virulência e meio de cultivo bruto de pseudomonas aeruginosa PA 1.;Petrobras;19/12/2006;18/12/2007;-;UFRJ;-;-
16356-8;Análise de eficiência, custos e tecnologias de células solares sensibilizadas por corantes.;Petrobras;19/12/2006;15/06/2008;-;USP;-;-
16357-6;Microbiologia do Petróleo: Obtenção de Tensões Interfaciais Óleo-Água Ultrabaixas e Produção de Biossurfactantes;Petrobras;19/12/2006;19/12/2010;-;UFV;-;-
16358-4;Estudo do processo de soldagem por atrito com pino não consumível de aços de alta resistência para aplicações em dutos de petróleo e gás natural;Petrobras;19/12/2006;19/12/2009;-;LNLS;-;-
16359-2;Estudo experimental e computacional da evolução da distribuição de tamanho de gotas de emulsões em separadores.;Petrobras;19/12/2006;19/12/2010;-;UNIFEI;-;-
16360-0;Desenvolvimento do processo de destilação molecular reativa para transformar (up-grading) petróleos ultra-pesados viabilizando o escoamento.;Petrobras;19/12/2006;19/12/2011;-;UNICAMP;-;-
16361-8;Formulação de grautes para cimentação de poços em operações onshore e offshore.;Petrobras;19/12/2006;19/06/2012;-;UFRN;-;-
16362-6;Projeto de dutos de materiais compósitos;Petrobras;19/12/2006;19/10/2009;-;UCP;-;-
16363-4;Recuperação primária e combustão in-situ de óleos pesados;Petrobras;19/12/2006;19/06/2010;-;UNICAMP;-;-
16364-2;Tecnologia enzimática aplicada a exploração offshore;Petrobras;19/12/2006;21/12/2010;-;UFRJ;-;-
16365-9;Nanotecnologia aplicada no setor de óleos lubrificantes e derivados de petróleo;Petrobras;19/12/2006;19/06/2010;-;UNICAMP;-;-
16366-7;FINEP - Desenvolvimento de Ferramentas para Identificação de Variáveis para Mitigação Preventiva de Risco em Risers e Dutos Submarinos de Óleo e Gás.;Petrobras;19/12/2006;19/12/2010;-;UNICAMP;-;-
16367-5;FINEP - Determinação da viscosidade in situ de óleos pesados por Ressonância Magnética Nuclear de baixo campo;Petrobras;19/12/2006;19/12/2009;-;UFF;-;-
16368-3;FINEP - Deslocamento de líquidos em poços de produção de óleos pesados.;Petrobras;19/12/2006;17/12/2008;-;PUC-RIO;-;-
16369-1;FINEP - Visualização do escoamento de fluidos de perfuração em campos de óleos pesados.;Petrobras;19/12/2006;19/12/2010;-;UTFPR;-;-
16370-9;Ferramenta de detecção de pequenos vazamentos usando redes neurais artificiais e redes Markov;Petrobras;19/12/2006;19/12/2012;-;CTDUT;-;-
16371-7;Desenvolvimento de sistema de detecção de vazamentos em dutovias via métodos estocásticos de monitoração em tempo real;Petrobras;19/12/2006;19/12/2012;-;CTDUT;-;-
16372-5;Sistema especialista para projeto de plantas cogeração;Petrobras;19/12/2006;19/09/2009;-;UFSC;-;-
16373-3;FINEP - Simulação numérica e avaliação qualitativa de combustão in-situ em reservatórios de óleo pesado;Petrobras;19/12/2006;19/12/2011;-;UFC;-;-
16374-1;Previsão de zonas de acumulação e da geometria deposicional de areias e o impacto das variações de nivel do mar e de gradiente topográfico em sistemas plataforma-talude bacia, com talude tipo rampa (conexão rio-delta-bacia) através de simulação física;Petrobras;20/12/2006;28/11/2010;-;UFRGS;-;-
16375-8;Classificação de resíduos sólidos da indústria do petróleo e gás;Petrobras;20/12/2006;03/12/2011;-;SENAI-RN/CTGAS;-;-
16376-6;Aprendizagem estatística aplicada à classificação multiclasses em multiatributos sísmicos;Petrobras;20/12/2006;27/05/2011;-;PUC-RIO;-;-
16377-4;Contratação de serviço de nitração de glicerol terc-di-butil éter;Petrobras;20/12/2006;20/06/2007;-;PADETEC;-;-
16378-2;Identificação e quantificação dos resíduos que possam ser utilizados como insumos em processo de carbonatação para seqüestro de co2 na região metropolitana de Campinas e entorno;Petrobras;20/12/2006;17/06/2007;-;UNICAMP;-;-
16379-0;Estudos fundamentais e aplicados s/redução atrito em escoamentos;Petrobras;20/12/2006;20/11/2014;-;CTDUT;-;-
16380-8;Simulação numérica e experimental do comportamento transiente de válvulas de alívio para dutos;Petrobras;20/12/2006;20/11/2014;-;CTDUT;-;-
16381-6;Recuperação de óleo pesado offshore por combustão in situ.;Petrobras;20/12/2006;20/08/2009;-;IMPA;-;-
16382-4;Estudo Experimental da Combustão Diesel-Gás;Petrobras;20/12/2006;20/12/2010;-;PUC-RIO;-;-
16383-2;Efeitos dinâmicos e formação de emulsões em processos de deslocamento de óleos pesados em reservatórios;Petrobras;20/12/2006;20/06/2009;-;UFSC;-;-
16384-0;Desenvolvimento Pastas Cimentação de Poços em Reservatórios de Óleos Pesados;Petrobras;20/12/2006;20/09/2009;-;UFRJ;-;-
16385-7;Consultoria em fluxo de fluídos do projeto simbr - fase II;Petrobras;20/12/2006;15/08/2008;-;UFSC;-;-
16386-5;Processamento de pinos por atrito no reparo de dutos e tubulações de transporte de derivados de petróleo;Petrobras;20/12/2006;20/12/2009;-;UFU;-;-
16387-3;Implementação de laboratório de ressonância magnética nuclear no LABPETRO - UFES;Petrobras;20/12/2006;20/06/2011;-;UFES;-;-
16388-1;Distribuição do gás sulfídricoentre óleos pesados, gás liberado e a água de formação nas condições de reservatório;Petrobras;20/12/2006;20/12/2010;-;UFRJ;-;-
16389-9;Plasma para pirólise e processamento de gás natural;Petrobras;20/12/2006;20/06/2010;-;UFES;-;-
16390-7;Precipitação de asfaltenos em misturas de petróleos brasileiros - enfoque termodinâmico;Petrobras;20/12/2006;20/12/2009;-;UFMA;-;-
16391-5;Controle de pressão e minimização da invasão de fluídos de perfuração em reservatórios portadores de óleos pesados;Petrobras;20/12/2006;20/12/2011;-;UFRRJ;-;-
16392-3;Desenvolvimento modelos hidrodinâmicos e método de partículas - MPS;Petrobras;22/12/2006;20/12/2009;-;USP;-;-
16393-1;Implantação da qualidade laboratorial nos laboratórios da rede de análise do cenpes;Petrobras;26/12/2006;24/12/2008;-;PUC-RIO;-;-
16394-9;FINEP - Análise de frações pesadas do petróleo por sistemas cromatográficos bidimensionais: HPLC e GC;Petrobras;26/12/2006;26/12/2009;-;UFRGS;-;-
16395-6;Sistema de Qualificação e Calibração de Sensores de Fibra Óptica para Medição de Vazão;Petrobras;27/12/2006;27/07/2011;-;UFRJ;-;-
16396-4;FINEP - Desenvolvimento e Caracterização de Soldas por Fricção no Estado Sólido para Reparos de Dutos e Estruturas Submersas.;Petrobras;27/12/2006;27/06/2009;-;UFRGS;-;-
16397-2;Desenvolvimento de um modelo analítico-numérico para avaliação da instabilidade de armaduras de dutos flexíveis sob carregamentos combinados;Petrobras;28/12/2006;20/04/2009;-;USP;-;-
16398-0;Assessoria técnica para partida, operacionalização e preparação para acreditação do laboratório de calibração de medidores de óleo da Unidade Metrológica do NUEX-Núcleo Experimental Engenheiro Baruzzi da Petrobras em Atalaia/SE.;Petrobras;28/12/2006;21/12/2009;-;IPT;-;-
16399-8;Serviços para avaliação da remoção de carga orgânica de efluente;Petrobras;28/12/2006;26/04/2007;-;UFRJ;-;-
16400-4;Sistema multicelular de monitoramento de core-flow;Petrobras;28/12/2006;28/06/2009;-;UNICAMP;-;-
16401-2;Simulador e Otimizador de Processos Químicos e Petroquímicos;Petrobras;26/12/2006;28/02/2010;-;UFRGS;-;-
16402-0;FINEP - Vibração Induzida por Vórtices Fase 3: Uma Investigação em Supressores Atenuadores;Petrobras;28/12/2006;28/09/2009;-;USP;-;-
16403-8;FINEP - Caracterização de enxofre elementar como resíduo de corrosão em linhas de gás natural;Petrobras;28/12/2006;28/12/2011;-;INT;-;-
16404-6;Projeto de complementação de análises e publicação dos resultados finais do Pograma REVIZEE - SCORE NORDESTE;Petrobras;29/12/2006;18/04/2009;-;UFRPE;-;-
16405-3;Serviços de estudo de efeitos hidrodinâmicos não lineares no dimensionamento do monobr;Petrobras;29/12/2006;24/09/2007;-;USP;-;-
16406-1;Inteligência socioambiental estratégica da indústria do petróleo na Amazonia;Petrobras;29/12/2006;29/08/2011;-;FUA;-;-
16407-9;FINEP - Tecnologias para Avaliação de Impactos e Recuperação Ambiental em Áreas de Atividade Petrolífera na Bacia de Campos, RJ.;Petrobras;29/12/2006;29/12/2011;-;UFRJ;-;-
16408-7;Projeto e construção de um circuito piloto de duto;Petrobras;29/12/2006;29/12/2012;-;CTDUT;-;-
16409-5;Sistemas de Simulação de Cenários Virtuais a partir de Modelagem Humana Virtual 3D para Mapeamento de Riscos e Incremento da Confiabilidade Humana.;Petrobras;29/12/2006;29/02/2012;-;INT;-;-
16410-3;Projeto efluente limpo;Petrobras;02/01/2007;31/03/2008;-;UTFPR;-;-
16411-1;Desenvolvimento de modelo e simulador computacional de distribuição de fluxo em poços horizontais;Petrobras;03/01/2007;01/01/2009;-;UNICAMP;-;-
16412-9;Estudo preliminar de obtenção de 3-metilpiridina (3-picolina), ácido nicotínico e nicotinamida a partir de glicerina;Petrobras;03/01/2007;27/12/2008;-;IPT;-;-
16413-7;Pesquisa e desenvolvimento para avaliação da produção de biodiesel por diferentes rotas reacionais;Petrobras;03/01/2007;01/01/2009;-;UERJ;-;-
16414-5;Desenvolvimento do sistema gráfico (visualização 3D) de integração de informações do abastecimento;Petrobras;04/01/2007;02/01/2009;-;PUC-RIO;-;-
16415-2;Efeito de revestimento na perda de carga durante o escoamento interno de óleos pesados;Petrobras;04/01/2007;01/10/2008;-;PUC-RIO;-;-
16416-0;Estudos analítico/numérico/experimental para estudar fluidos de perfuração poliméricos em meios porosos.;Petrobras;04/01/2007;27/04/2008;-;UNICAMP;-;-
16417-8;Desenvolvimento de meio poroso para caracterização de amostras de reservatórios de petróleo ( testemunhos ) pela técnica do ponto de bolha;Petrobras;05/01/2007;04/10/2007;-;UFRJ;-;-
16418-6;Avaliação de impactos ambientais de combustíveis alternativos de fontes renováveis em solos e águas subterrâneas;Petrobras;05/01/2007;03/01/2009;-;UFSC;-;-
16419-4;Aplicações de técnicas de processamento de sinais na caracterização e monitoramento de reservatórios-fase II;Petrobras;08/01/2007;05/07/2009;-;PUC-RIO;-;-
16420-2;Confiabilidade e estudo da inspeção de defeitos de corrosão em tanques de armazenamento de óleo;Petrobras;08/01/2007;06/01/2010;-;UFRJ;-;-
16421-0;Identificação taxonômica de organismos bentônicos da meiofauna do talude da Bacia de Campos;Petrobras;08/01/2007;06/01/2009;-;UFRPE;-;-
16422-8;Aplicação de revestimento por aspersão térmica em hastes de bombeio;Petrobras;08/01/2007;06/01/2009;-;ITP;-;-
16423-6;Implementação on-line nas refinarias da PETROBRAS, de ferramentas de auditoria de malhas denominadas BRPerfX.;Petrobras;10/01/2007;07/07/2008;-;UFRGS;-;-
16424-4;Implementação do sistema de inspeção de casco de navios para teste em um FPSO.;Petrobras;17/01/2007;14/07/2009;-;UFRJ;-;-
16425-1;Determinação simultânea de estruturas acústicas e elásticas a partir de perfis de poços e multitributos sísmicos com redes neurais;Petrobras;22/01/2007;20/01/2009;-;PUC-RIO;-;-
16426-9;Desenvolvimento e implantação de propriedades de mistura de derivados de petróleo no sistema blend-brot;Petrobras;22/01/2007;20/04/2008;-;UFF;-;-
16427-7;Desenvolvimento de modelo geológico evolutivo para os riftes marinhos do jurássico da bacia lusitânica - projeto Atlantis;Petrobras;24/01/2007;12/01/2011;-;UFS;-;-
16428-5;Avaliação e controle da corrosão interna e externa em materiais metálicos alta liga e aço carbono em meio de alta pressão e alta temperatura (hpht);Petrobras;24/01/2007;22/02/2008;-;UFRJ;-;-
16429-3;Prospecção da atividade de degradação de hidrocarbonetos aromáticos por metagenoma microbiano originado efluente refinaria petróleo;Petrobras;26/01/2007;23/07/2010;-;UNICAMP;-;-
16430-1;Desenvolvimento do método de migração wcdp - 3d;Petrobras;26/01/2007;06/11/2008;-;UENF;-;-
16431-9;Desenvolvimento do Método de Migração WCDP-3D;Petrobras;07/11/2008;23/07/2009;-;UENF;-;-
16432-7;Pesquisa e desenvolvimento de processos de tratamento de efluente visando a remoção de boro de água de produção;Petrobras;29/01/2007;28/01/2008;-;PUC-RIO;-;-
16433-5;Aplicação de bactérias redutoras de sulfato visando à obtenção de produtos no sistema de tratamento térmico de resíduos;Petrobras;29/01/2007;26/07/2008;-;FIOCRUZ;-;-
16434-3;Realização de análises de viabilidade de risers para a cell spar com completação seca;Petrobras;29/01/2007;27/07/2007;-;UFRJ;-;-
16435-0;Estudo de processos evaporativos para dessalinização de água produzida de petróleo;Petrobras;30/01/2007;18/01/2009;-;UFRN;-;-
16436-8;Flowlift 2 Fase 2;Petrobras;30/01/2007;01/05/2010;-;UFF;-;-
16437-6;Aplicativo DMRISCO - Ferramenta de Prevenção e Redução de Situações Críticas e Acidentes em Plataformas Off-shore;Petrobras;30/01/2007;22/07/2008;-;UFF;-;-
16438-4;Avaliação e Monitoramento das Emissões Gasosas e Particuladas de Fontes Estacionárias Industriais.;Petrobras;30/01/2007;20/12/2009;-;SENAI-RN/CTGAS;-;-
16439-2;Estudo da proveniência dos Arenitos Pré-Cone do Amazonas, Através da Analise Varietal de Granadas;Petrobras;01/02/2007;29/08/2007;-;UFRGS;-;-
16440-0;Automação e controle de processos petrolíferos;Petrobras;02/02/2007;07/11/2011;-;UFS;-;-
16441-8;Estudo experimental do desempenho de válvulas ciclônicas;Petrobras;02/02/2007;31/01/2009;-;UNIFEI;-;-
16442-6;Técnicas de ultra-som para medida da fração de vazio e aplicação de emulsões em escoamentos multifásicos líquido-sólido-gás;Petrobras;05/02/2007;03/02/2009;-;UNIFEI;-;-
16443-4;Revisão de procedimentos de ensaio de acelerômetros e girômetros aplicados para o georreferenciamento de dutos petrolíferos;Petrobras;05/02/2007;02/09/2007;-;IME;-;-
16444-2;Modelagem 3D para geodirecionamento;Petrobras;08/02/2007;07/02/2008;-;PUC-RIO;-;-
