CodProj;Ano Carregamento;Recursos Humanos;Viagens e Diárias;Outras despesas;Material de Consumo;Material Permanente;Serviço de Terceiros;Custo Total Previsto
PD-00068-0045;2019;$2.786.040,00;$542.393,75;$227.322,25;$300.000,00;$328.000,00;$600.000,00;$4.783.756,00
PD-00068-0046;2020;$890.703,18;$110.000,00;$87.270,32;$228.000,00;$50.000,00;$500.000,00;$1.865.973,50
PD-00068-0047;2020;$5.299.948,10;$435.167,00;$873.492,21;$180.000,00;$276.000,00;;$7.064.607,31
PD-00068-0048;2020;$4.414.300,00;$119.000,00;;$415.125,00;$40.000,00;;$4.988.425,00
PD-00068-0049;2020;$2.075.800,00;$191.100,00;$256.710,00;$123.400,00;$6.232.700,00;$2.540.804,76;$11.420.514,76
PD-00068-0051;2021;$1.257.035,00;$107.000,00;$153.105,75;;$61.000,00;;$1.578.140,75
PD-00068-0052;2021;$1.428.180,00;$120.700,00;$235.257,96;$9.000,00;$109.000,00;$1.000,00;$1.903.137,96
PD-00068-0053;2021;$1.886.976,00;$81.000,00;$119.976,00;$14.384,00;;;$2.102.336,00
PD-00068-0054;2021;$1.649.925,00;$96.750,00;$154.576,00;$4.500,00;$40.000,00;$49.000,00;$1.994.751,00
PD-00075-1506;2015;$555.022,40;$36.000,00;$86.400,00;;$9.134,00;;$686.556,40
PD-00082-0001;2011;$651.807,00;$10.000,00;$137.311,00;$2.400,00;$298.000,00;;$1.099.518,00
PD-00082-0002;2015;$651.807,00;$10.000,00;$137.311,00;$2.400,00;$298.000,00;;$1.099.518,00
PD-00084-1516;2015;$804.240,00;$50.000,00;$56.812,00;$80.000,00;$105.000,00;$150.000,00;$1.246.052,00
PD-00086-0001;2016;$179.760,00;$10.000,00;$30.000,00;$10.000,00;$28.146,90;$0,00;$257.906,90
PD-00087-0087;2010;$912.080,00;$46.000,00;$40.000,00;;$430.000,00;$135.000,00;$1.563.080,00
PD-00095-0001;2011;$95.100,00;$3.870,00;$0,00;$45.000,00;$26.000,00;$1.000,00;$170.970,00
PD-00095-0002;2011;$112.200,00;$3.870,00;$0,00;$12.856,49;$34.600,00;$5.000,00;$168.526,49
PD-00095-0003;2011;$173.760,00;$22.523,76;$17.811,40;$57.000,00;$77.633,00;$7.500,00;$356.228,16
PD-00097-0010;2011;$0,00;$55.000,00;$132.000,00;$8.000,00;$327.000,00;$128.400,00;$650.400,00
PD-00097-0014;2011;$356.400,00;$70.342,00;$535.610,86;$24.000,00;$673.224,00;$77.800,00;$1.737.376,86
PD-00097-0015;2011;;$19.500,00;$52.800,00;$118.850,00;$64.850,00;$24.000,00;$280.000,00
PD-00097-0018;2012;$350.400,00;$114.374,00;$20.000,00;$24.000,00;$52.000,00;$160.560,00;$721.334,00
PD-00097-0019;2013;$350.400,00;$114.374,00;$20.000,00;$24.000,00;$52.000,00;$160.560,00;$721.334,00
PD-00097-0314;2015;$313.980,00;$4.222,72;$35.820,28;$40.000,00;$0,00;$11.800,00;$405.823,00
PD-00097-0414;2015;$483.600,00;$30.450,00;$30.450,00;$91.864,00;$153.800,00;$72.970,00;$863.134,00
PD-00097-1417;2018;$532.800,00;$10.222,50;$0,00;$101.021,10;$116.794,80;$35.395,71;$796.234,11
PD-00097-1517;2018;$479.040,00;$10.222,50;$0,00;$36.688,55;$307.802,40;$72.313,80;$906.067,25
PD-00097-2317;2018;$316.800,00;$17.601,35;$0,00;$33.231,40;$454.392,40;$128.602,33;$950.627,48
PD-00097-2517;2018;$5.098.080,00;$57.705,00;$213.468,24;$260.000,00;$1.533.700,00;$558.500,00;$7.721.453,24
PD-00097-3317;2018;$354.710,00;$24.850,59;$113.353,73;$9.983,00;$407.760,88;$32.873,24;$943.531,44
PD-00097-3617;2018;$564.450,00;$3.200,00;$4.000,00;$1.130,20;$695.249,19;$16.000,00;$1.284.029,39
PD-00097-4914;2015;$486.480,00;$38.600,00;;$72.200,00;$602.000,00;$51.000,00;$1.250.280,00
PD-00103-0001;2011;;;$35.000,00;;$90.000,00;$8.000,00;$133.000,00
PD-00103-0002;2011;$788.280,00;$68.000,00;$15.000,00;;;$136.000,00;$1.007.280,00
PD-00103-0003;2018;$451.200,00;$58.800,00;$24.000,00;$18.000,00;$39.000,00;$15.000,00;$606.000,00
PD-00369-0001;2009;$243.877,20;$11.000,00;$1.000,00;$141.900,00;$328.000,00;;$725.777,20
PD-00369-0002;2010;$798.190,56;$97.000,00;$56.529,64;$5.400,00;$20.000,00;;$977.120,20
PD-00369-0003;2011;$764.820,83;$42.472,00;$33.292,40;$22.434,00;;$191.690,83;$1.054.710,06
PD-00369-0004;2011;$505.220,64;$68.560,00;$60.000,00;$25.000,00;$435.983,60;$338.000,00;$1.432.764,24
PD-00369-0005;2011;$491.548,69;$64.120,00;;$7.000,00;$17.000,02;$25.000,00;$604.668,71
PD-00369-0007;2011;$386.307,60;$40.190,00;$26.390,00;$3.435,00;$9.000,00;$108.600,00;$573.922,60
PD-00369-0008;2011;$509.043,70;$24.920,00;$430.000,00;;$170.000,00;;$1.133.963,70
PD-00369-0009;2016;$1.227.141,54;$60.248,08;$167.385,88;$67.971,79;$90.800,00;$60.000,00;$1.673.547,29
PD-00369-0010;2016;$1.495.578,70;$98.783,26;$113.038,75;$3.600,00;$349.200,00;;$2.060.200,71
PD-00369-0011;2016;$969.420,28;$117.456,00;$48.835,50;;;;$1.135.711,78
PD-00369-0012;2016;$1.518.982,08;$129.840,00;$135.160,00;;;;$1.783.982,08
PD-00371-0001;2011;$626.100,00;$60.000,00;$130.286,00;;$716.260,00;$135.000,00;$1.667.646,00
PD-00371-0002;2011;$352.800,00;$59.690,00;$57.167,00;$61.680,00;$172.800,00;$93.300,00;$797.437,00
PD-00371-0003;2011;$598.500,00;$15.000,00;$57.190,00;;$149.083,00;$42.000,00;$861.773,00
PD-00371-0004;2011;$423.400,00;$38.700,00;$47.310,00;;$44.306,00;$250.000,00;$803.716,00
PD-00371-0005;2011;$681.300,00;$10.000,00;$53.020,00;;$9.500,00;$130.000,00;$883.820,00
PD-00371-0006;2011;$246.360,00;$48.950,00;$27.853,50;;$64.000,00;$130.000,00;$517.163,50
PD-00371-0007;2011;$524.100,00;$414.165,67;$160.612,60;$135.000,00;$57.600,00;$497.000,00;$1.788.478,27
PD-00371-0008;2011;$0,00;$3.678,30;;;$70.500,00;;$74.178,30
PD-00371-0009;2011;$760.800,00;$7.500,00;$84.990,24;;$186.600,00;$300.000,00;$1.339.890,24
PD-00371-0010;2012;$435.000,00;$42.500,00;$150.040,00;$10.000,00;$304.800,00;$20.000,00;$962.340,00
PD-00371-0011;2012;$530.400,00;$36.000,00;$76.140,00;;$108.000,00;$108.000,00;$858.540,00
PD-00371-0012;2012;$630.000,00;$28.000,00;$88.680,00;$10.000,00;$6.000,00;;$762.680,00
PD-00371-0013;2012;$410.160,00;$18.681,62;$42.037,00;$32.095,00;$47.053,38;$19.180,00;$569.207,00
PD-00371-0020;2013;$1.272.900,00;$32.000,00;$306.822,00;$21.000,00;$290.000,00;$400.000,00;$2.322.722,00
PD-00371-0022;2018;$3.020.000,00;$26.500,00;;;;;$3.046.500,00
PD-00371-0023;2016;$2.276.688,00;$217.000,00;$311.133,76;$300.000,00;$421.000,00;$66.400,00;$3.592.221,76
PD-00371-0024;2016;$3.469.518,30;$172.400,00;$197.700,00;$207.625,00;$614.200,00;$418.600,00;$5.080.043,30
PD-00371-0025;2016;$1.109.378,70;$133.600,00;$58.460,96;$7.200,00;$100.000,00;$5.000,00;$1.413.639,66
PD-00371-0026;2016;$1.860.480,00;$115.000,00;$28.000,00;;$56.000,00;$199.000,00;$2.258.480,00
PD-00371-0027;2016;$958.600,00;$109.400,00;$375.157,12;$114.800,00;$7.000,00;$116.000,00;$1.680.957,12
PD-00371-0028;2016;$795.600,00;$63.200,00;$90.891,30;$36.761,81;$363.451,00;$39.496,14;$1.389.400,25
PD-00371-0029;2016;$1.013.580,00;$38.400,00;$102.878,00;$17.300,00;$227.900,00;;$1.400.058,00
PD-00371-0030;2017;$830.016,00;$69.999,69;$113.164,22;$41.150,00;$666.200,00;$811.920,00;$2.532.449,91
PD-00371-0031;2017;$858.600,00;$102.480,00;$94.946,00;$13.878,00;$339.400,00;$617.920,00;$2.027.224,00
PD-00371-0032;2017;$2.157.600,00;$77.000,00;$249.900,00;$139.000,00;$58.300,00;$361.148,00;$3.042.948,00
PD-00371-0033;2017;$2.616.192,00;$64.000,00;$162.000,00;$4.409,72;$305.000,00;$9.104.000,00;$12.255.601,72
PD-00371-0034;2018;$1.717.920,00;$269.800,00;$120.240,00;$80.000,00;$230.000,00;$175.000,00;$2.592.960,00
PD-00371-0035;2018;$2.170.800,00;$292.600,00;$165.612,00;$2.500,00;$164.000,00;$200.000,00;$2.995.512,00
PD-00371-0036;2018;$1.717.920,00;$269.800,00;$120.240,00;$80.000,00;$230.000,00;$175.000,00;$2.592.960,00
PD-00371-0037;2018;$2.719.680,00;$459.000,00;$223.925,76;$2.250,00;$1.363.000,00;$4.466.300,00;$9.234.155,76
PD-00371-0038;2019;$2.514.480,00;$341.450,00;$472.732,80;$286.568,80;$770.427,20;$1.272.770,00;$5.658.428,80
PD-00371-0039;2019;$1.525.200,00;$385.000,00;$271.069,92;$6.200,00;$278.500,00;$1.112.000,00;$3.577.969,92
PD-00372-0000;2010;$3.554.420,00;$279.000,00;$1.311.847,50;$499.000,00;$371.000,00;$4.784.800,00;$10.800.067,50
PD-00372-0001;2010;$384.303,60;$65.000,00;$46.097,08;$7.000,00;$186.392,00;;$688.792,68
PD-00372-0002;2010;$501.600,00;$43.800,00;$57.229,76;$6.000,00;$12.400,00;$14.700,00;$635.729,76
PD-00372-0003;2010;$408.108,00;$53.000,00;$56.786,25;$10.000,00;$7.000,00;$27.617,11;$562.511,36
PD-00372-0004;2009;$824.319,00;$242.644,99;$214.440,00;$183.600,00;$480.801,00;$355.600,00;$2.301.404,99
PD-00372-0005;2009;$1.958.466,18;$273.900,00;$253.290,30;$62.122,00;$61.153,60;$160.500,00;$2.769.432,08
PD-00372-0006;2010;$378.708,00;$437.537,39;$100.597,06;$63.159,99;$74.605,74;$136.446,66;$1.191.054,84
PD-00372-0007;2010;$1.328.592,00;$144.000,00;$98.004,60;$57.600,00;$378.000,00;$52.000,00;$2.058.196,60
PD-00372-0008;2010;$592.635,60;$60.000,00;$160.324,18;$60.000,00;$274.949,25;$30.240,00;$1.178.149,03
PD-00372-0009;2009;$9.513.413,77;$2.817.540,04;$652.584,81;$2.373.382,58;$3.806.349,74;$2.499.800,03;$21.663.070,97
PD-00372-0010;2010;$1.083.960,00;$150.000,00;$70.373,28;$12.000,00;$59.000,00;$56.000,00;$1.431.333,28
PD-00372-0011;2010;$316.368,00;$48.000,00;$50.893,40;$124.500,00;$141.500,00;$69.500,00;$750.761,40
PD-00372-0012;2010;$493.657,20;$189.718,22;$75.954,12;$38.400,00;$97.785,00;$85.720,00;$981.234,54
PD-00372-0013;2010;$244.992,00;$24.032,00;$14.111,90;$3.584,00;$9.630,00;;$296.349,90
PD-00372-0014;2010;$405.849,60;$68.510,40;$75.713,92;$30.000,00;$105.000,00;$53.000,00;$738.073,92
PD-00372-0016;2010;$503.626,40;$66.100,00;$71.866,52;$7.440,00;$54.052,00;$6.000,00;$709.084,92
PD-00372-0017;2010;$792.906,00;$119.000,00;$50.095,30;$45.000,00;$5.000,00;$40.000,00;$1.052.001,30
PD-00372-0018;2010;$311.328,00;$90.300,00;$28.321,56;$12.000,00;$36.000,00;$116.800,00;$594.749,56
PD-00372-0019;2010;$7.200,00;$24.000,00;$1.560,00;;;;$32.760,00
PD-00372-0020;2010;$519.408,00;$91.500,00;$123.828,00;$9.000,00;$149.004,00;;$892.740,00
PD-00372-0022;2010;$1.565.757,60;$743.200,00;$386.104,00;$377.900,00;$1.392.537,00;$588.090,08;$5.053.588,68
PD-00372-0023;2010;$1.559.960,00;$268.400,00;$55.000,00;$178.766,00;$1.424.276,48;$701.177,76;$4.187.580,24
PD-00372-0024;2010;$306.625,00;$54.000,00;$17.784,00;$55.100,00;$41.400,00;$123.784,00;$598.693,00
PD-00372-0025;2010;$1.972.954,00;$397.000,00;$130.107,84;$140.500,00;$616.800,00;$1.137.000,00;$4.394.361,84
PD-00372-0026;2010;$2.907.484,00;$302.000,00;$422.304,82;$320.000,00;$1.880.000,00;$107.600,00;$5.939.388,82
PD-00372-0027;2010;$3.171.401,00;$386.800,00;$141.218,24;$268.100,00;$1.414.100,00;$91.000,00;$5.472.619,24
PD-00372-0028;2011;$721.950,00;$172.000,00;$109.992,00;$240.000,00;$859.300,00;$314.755,00;$2.417.997,00
PD-00372-0029;2011;$598.000,00;$73.000,00;$74.100,00;$36.200,00;$200.970,00;$49.125,00;$1.031.395,00
PD-00372-0030;2011;$928.510,00;$89.320,00;$273.002,64;$33.328,00;;;$1.324.160,64
PD-00372-0031;2011;$441.600,00;$38.000,00;$43.260,00;$5.000,00;$10.000,00;$47.089,92;$584.949,92
PD-00372-0032;2011;$549.280,00;$678.952,00;$39.795,00;$16.000,00;$139.100,00;$139.300,20;$1.562.427,20
PD-00372-0033;2011;$395.100,00;$26.000,00;$48.335,36;$8.155,00;$3.200,00;$24.400,00;$505.190,36
PD-00372-1090;2012;$409.032,00;$32.350,00;$24.917,18;$24.000,00;$7.960,00;$25.000,00;$523.259,18
PD-00372-1233;2012;$397.077,00;$72.332,00;$69.047,10;$20.865,00;$85.343,20;$14.980,00;$659.644,30
PD-00372-1246;2012;$212.587,68;$59.716,02;$41.962,90;$11.800,00;$26.050,00;;$352.116,60
PD-00372-1257;2013;$269.880,00;$8.000,00;$24.511,44;$80.600,00;$121.750,00;$10.000,00;$514.741,44
PD-00372-1321;2012;$565.800,00;$16.650,00;$144.069,90;$45.645,00;$1.329.300,00;$175.180,00;$2.276.644,90
PD-00372-1378;2012;$2.019.000,00;$30.280,00;$402.095,00;;$10.000,00;$43.200,00;$2.504.575,00
PD-00372-1476;2013;$1.176.000,00;$237.199,84;$365.385,84;$24.060,00;$282.000,00;$362.100,00;$2.446.745,68
PD-00372-9985;2019;$5.990.723,04;$350.143,65;$932.621,25;$281.636,74;$5.637.743,62;$612.386,46;$13.805.254,76
PD-00372-9986;2019;$1.669.320,00;$134.072,60;$859.510,84;$341.385,36;;$248.400,00;$3.252.688,80
PD-00372-9987;2018;$5.760.000,00;$1.440.000,00;$150.000,00;$4.798.500,00;;$1.480.000,00;$13.628.500,00
PD-00372-9988;2018;$11.520.000,00;$2.880.000,00;$150.000,00;$7.348.500,00;;$2.180.000,00;$24.078.500,00
PD-00372-9990;2015;$4.262.160,00;$1.469.706,52;$6.715.729,76;$23.080,00;$81.160.965,74;$6.275.451,98;$99.907.094,00
PD-00372-9991;2014;$1.049.705,00;$77.100,00;$147.276,04;$83.600,00;$152.905,00;$353.000,00;$1.863.586,04
PD-00372-9992;2016;$1.851.518,00;$170.000,00;$240.576,00;$64.000,00;$670.000,00;$260.000,00;$3.256.094,00
PD-00372-9993;2014;$35.346.950,00;$4.800.000,00;$20.875.991,59;$33.875.126,41;$29.354.857,00;$32.665.850,00;$156.918.775,00
PD-00372-9994;2014;$456.660,00;$130.000,00;$128.565,60;$185.300,00;$403.580,00;$301.800,00;$1.605.905,60
PD-00372-9995;2013;$4.067.904,00;$797.938,00;$390.392,00;$20.000,00;$150.000,00;$1.200.000,00;$6.626.234,00
PD-00372-9996;2013;$861.540,00;$52.000,00;$195.476,00;$133.500,00;$659.100,00;$295.000,00;$2.196.616,00
PD-00372-9997;2012;$39.159.023,00;$5.240.000,00;$26.433.915,00;$6.783.012,00;$42.449.145,00;$38.700.803,00;$158.765.898,00
PD-00372-9999;2012;$731.264,00;$197.000,00;$65.785,00;$196.749,00;$4.500,00;$182.500,00;$1.377.798,00
PD-00373-0004;2009;$433.056,60;;;$7.200,00;$71.000,00;$30.000,00;$541.256,60
PD-00373-0005;2009;$276.720,00;$85.150,00;$65.546,77;;;$301.391,00;$728.807,77
PD-00373-0006;2009;$1.440.000,00;$66.000,00;$259.936,84;$38.800,00;$854.000,00;$300.000,00;$2.958.736,84
PD-00373-0010;2010;$4.587.780,00;$1.139.834,22;$1.142.035,34;$23.900,00;$13.174.119,99;$1.725.000,00;$21.792.669,55
PD-00373-0011;2010;$680.280,00;$91.800,00;$360.625,60;$32.400,00;$2.112.679,68;$667.530,00;$3.945.315,28
PD-00373-0015;2012;$295.200,00;$80.000,00;$0,00;$0,00;$7.500,00;$330.870,00;$713.570,00
PD-00380-0001;2010;$1.059.840,00;$60.200,00;$19.694,77;$4.800,00;$139.600,00;$154.000,00;$1.438.134,77
PD-00380-0002;2010;$1.499.600,00;$97.500,00;$36.645,36;$9.000,00;$356.560,00;$174.000,00;$2.173.305,36
PD-00380-0003;2010;$491.812,00;$29.700,00;$19.200,00;$4.000,08;$12.000,00;$33.000,00;$589.712,08
PD-00380-0004;2010;$606.180,00;$24.900,00;$0,00;$1.800,00;$7.200,00;$0,00;$640.080,00
PD-00380-0005;2010;$389.270,00;$43.320,00;$0,00;$2.400,00;$18.000,00;$149.360,00;$602.350,00
PD-00380-0006;2010;$530.175,00;$75.600,00;$32.002,58;$82.800,00;$16.200,00;$31.000,00;$767.777,58
PD-00380-0007;2010;$386.640,00;$40.000,00;$0,00;$1.800,00;$232.390,00;$25.000,00;$685.830,00
PD-00380-0008;2011;$647.418,00;$84.000,00;$0,00;$6.000,00;$136.000,00;$122.000,00;$995.418,00
PD-00380-0009;2011;$659.040,00;$66.500,00;$22.500,00;$4.800,00;$36.000,00;$0,00;$788.840,00
PD-00380-0010;2012;$659.040,00;$66.500,00;$22.500,00;$4.800,00;$36.000,00;$0,00;$788.840,00
PD-00380-0012;2013;$1.324.980,00;$171.000,00;$159.348,00;$30.100,00;$1.840.548,01;$2.915.526,90;$6.441.502,91
PD-00380-0013;2013;$1.470.890,00;$133.000,00;$0,00;$15.000,00;$2.237.353,19;$2.651.882,10;$6.508.125,29
PD-00380-0014;2013;$133.470,00;$8.000,00;$0,00;$1.030,00;$178.500,00;$299.000,00;$620.000,00
PD-00380-0016;2013;$720.136,00;$79.000,00;$108.000,00;$0,00;$440.000,00;$434.600,00;$1.781.736,00
PD-00380-0017;2014;$644.984,00;$43.000,00;$0,00;$0,00;$0,00;$0,00;$687.984,00
PD-00380-0018;2014;$888.192,00;$58.000,00;$10.080,00;$6.480,00;$30.500,00;$63.000,00;$1.056.252,00
PD-00380-0019;2016;$578.760,00;$65.000,00;$0,00;$5.000,00;$331.000,00;$370.200,00;$1.349.960,00
PD-00380-0020;2017;$253.380,00;$68.552,00;$44.100,00;$57.000,00;$8.220,00;$140.000,00;$571.252,00
PD-00380-0021;2017;$2.279.946,00;$126.631,58;$244.099,24;$24.947,38;$326.337,26;$689.072,00;$3.691.033,46
PD-00380-0022;2017;$362.000,00;$245.000,00;;;$315.000,00;$711.000,00;$1.633.000,00
PD-00380-0026;2017;$605.000,00;$25.000,00;;;$40.000,00;$60.000,00;$730.000,00
PD-00380-0027;2018;$3.900.000,00;$42.500,00;$210.000,00;$129.333,00;$780.000,00;$374.000,00;$5.435.833,00
PD-00380-0028;2018;$842.590,00;$35.000,00;;;$180.000,00;$480.000,00;$1.537.590,00
PD-00381-0001;2009;$441.500,00;$26.900,00;;$3.000,00;;$78.600,00;$550.000,00
PD-00381-0002;2009;$251.500,00;$68.520,00;$22.766,00;$5.500,00;$55.800,00;$74.000,00;$478.086,00
PD-00381-0003;2009;$693.820,00;$64.800,00;$3.000,00;;$140.000,00;$3.000,00;$904.620,00
PD-00381-0004;2009;$213.360,00;$18.000,00;$48.000,00;$9.200,00;$150.000,00;$44.000,00;$482.560,00
PD-00381-0005;2009;$501.345,00;$42.000,00;$3.000,00;;$70.000,00;$30.000,00;$646.345,00
PD-00381-0006;2012;$1.152.960,00;$25.000,00;$18.000,00;$114.000,00;$267.000,00;$164.800,00;$1.741.760,00
PD-00381-0007;2015;$800.640,00;$39.500,00;$54.000,00;$50.000,00;$74.000,00;$18.000,00;$1.036.140,00
PD-00381-0008;2017;$1.018.000,00;$57.000,00;$24.000,00;$226.000,00;$139.000,00;$6.000,00;$1.470.000,00
PD-00381-0009;2018;$811.940,00;$55.600,00;$63.750,00;;;$38.000,00;$969.290,00
PD-00381-0011;2021;$473.760,00;$23.025,76;$30.339,29;$10.000,00;$50.000,00;$50.000,00;$637.125,05
PD-00382-0001;2008;$608.352,00;$5.000,00;$104.224,00;$3.000,00;$310.000,00;$207.768,80;$1.238.344,80
PD-00382-0002;2008;$325.462,00;$2.000,00;$75.761,76;$3.200,00;$5.000,00;$180.898,16;$592.321,92
PD-00382-0003;2008;$238.070,00;$12.500,00;$27.905,00;$5.400,00;$7.500,00;$137.600,00;$428.975,00
PD-00382-0005;2008;$385.019,00;$13.000,00;$18.724,20;;$100.000,00;$164.860,00;$681.603,20
PD-00382-0006;2008;$534.240,00;$10.000,00;$128.760,96;;$131.374,00;$231.310,00;$1.035.684,96
PD-00382-0007;2008;$476.180,00;$18.000,00;$86.197,50;;$120.000,00;$69.000,00;$769.377,50
PD-00382-0008;2008;$311.720,00;$3.000,00;$5.620,00;;;$20.000,00;$340.340,00
PD-00382-0010;2008;$827.780,00;$6.000,00;$6.900,00;;;;$840.680,00
PD-00382-0011;2008;$573.424,00;$8.000,00;$34.606,20;$6.000,00;$18.500,00;$16.500,00;$657.030,20
PD-00382-0013;2008;$511.290,00;$24.460,00;$6.566,50;$4.000,00;$2.050,00;$107.637,00;$656.003,50
PD-00382-0015;2008;$220.200,00;;$23.755,00;$44.000,00;$118.000,00;$82.200,00;$488.155,00
PD-00382-0016;2008;$340.100,00;$4.000,00;$5.397,00;$4.800,00;$6.000,00;$92.384,00;$452.681,00
PD-00382-0017;2008;$420.490,00;$14.400,00;$7.532,50;;$144.928,00;$98.018,56;$685.369,06
PD-00382-0018;2009;$385.760,00;$18.400,00;$66.732,00;$6.000,00;;$13.800,00;$490.692,00
PD-00382-0022;2009;$659.760,00;$14.000,00;$6.171,00;;$40.000,00;$36.000,00;$755.931,00
PD-00382-0028;2009;$245.746,00;$9.000,00;$35.164,00;$2.000,00;$75.000,00;$74.000,00;$440.910,00
PD-00382-0029;2008;$733.000,00;$33.600,00;$7.800,00;;$45.000,00;$19.500,00;$838.900,00
PD-00382-0032;2009;$495.050,00;$3.000,00;$7.116,50;;$30.050,00;$43.000,00;$578.216,50
PD-00382-0037;2010;$45.500,00;$30.000,00;;$32.500,00;$74.000,00;$231.000,00;$413.000,00
PD-00382-0039;2009;$916.257,00;$44.700,00;$125.976,66;$2.700,00;$12.000,00;$153.200,00;$1.254.833,66
PD-00382-0041;2009;$1.591.900,00;$3.000,00;$5.000,00;;$650.000,00;$330.000,00;$2.579.900,00
PD-00382-0042;2009;$3.112.480,00;$3.000,00;;;;$1.783.000,00;$4.898.480,00
PD-00382-0043;2010;$1.193.040,00;$2.900,00;$267.209,98;;;;$1.463.149,98
PD-00382-0044;2010;$335.364,00;$7.140,00;$20.000,00;;$2.244,00;;$364.748,00
PD-00382-0045;2010;$760.650,00;$30.000,00;;$1.656,00;$19.600,00;$333.742,00;$1.145.648,00
PD-00382-0046;2010;$1.959.744,00;$19.200,00;$70.000,00;;;$5.000,00;$2.053.944,00
PD-00382-0047;2010;$337.320,00;$6.000,00;$58.890,00;;$8.000,00;;$410.210,00
PD-00382-0048;2010;$800.560,00;$9.000,00;$75.000,00;$2.416,00;;$158.124,00;$1.045.100,00
PD-00382-0049;2010;$264.000,00;;$27.727,92;$1.200,00;$7.000,00;;$299.927,92
PD-00382-0050;2010;$1.211.780,00;$32.000,00;$30.000,00;;$17.300,00;$39.600,00;$1.330.680,00
PD-00382-0051;2010;$552.490,00;$3.000,00;$44.000,00;;$6.330,00;;$605.820,00
PD-00382-0053;2010;$242.900,00;$10.500,00;$125.000,00;$6.600,00;;$215.000,00;$600.000,00
PD-00382-0054;2011;$1.196.502,00;$109.600,00;$58.236,76;;$114.500,00;$1.206.900,00;$2.685.738,76
PD-00382-0057;2010;$7.390.763,00;$668.452,80;$379.702,20;$80.650,00;$716.750,00;$458.000,00;$9.694.318,00
PD-00382-0058;2010;$1.472.688,00;$181.550,00;$49.395,00;$12.000,00;$1.306.531,00;$580.150,00;$3.602.314,00
PD-00382-0059;2010;$2.398.143,00;$400.300,00;$124.344,30;$15.840,00;$751.500,00;$262.000,00;$3.952.127,30
PD-00382-0060;2010;$2.681.847,00;$275.250,00;$107.704,90;$65.200,00;$553.100,00;$2.610.700,00;$6.293.801,90
PD-00382-0061;2010;$2.653.380,00;$371.148,96;$216.148,60;$56.600,00;$1.073.500,00;$220.000,00;$4.590.777,56
PD-00382-0062;2010;$782.237,00;$43.100,12;$155.152,65;$45.000,00;$4.450,00;$385.000,00;$1.414.939,77
PD-00382-0063;2010;$609.340,00;$73.600,00;$72.000,00;$2.250,00;$324.931,48;$397.693,05;$1.479.814,53
PD-00382-0064;2011;$623.660,00;$19.000,00;$69.695,00;$2.000,00;$213.900,00;$190.795,00;$1.119.050,00
PD-00382-0065;2011;$785.650,00;$52.000,00;$64.000,00;;$444.000,00;$142.000,00;$1.487.650,00
PD-00382-0066;2011;$475.270,00;$109.000,00;$88.038,50;$72.000,00;$265.000,00;$141.000,00;$1.150.308,50
PD-00382-0067;2011;$2.168.191,00;$346.220,00;$838.136,16;;$253.000,00;$1.630.400,00;$5.235.947,16
PD-00382-0068;2011;$255.909,00;;$30.000,00;;;;$285.909,00
PD-00382-0069;2011;$518.899,99;$15.000,00;;;$3.500,00;;$537.399,99
PD-00382-0071;2011;$232.620,00;$10.400,00;$85.800,04;;;$220.500,00;$549.320,04
PD-00382-0072;2011;$825.640,00;$10.000,00;$6.000,00;;;$137.000,00;$978.640,00
PD-00382-0073;2011;$1.734.688,64;$133.920,00;$2.400,00;;;$191.000,00;$2.062.008,64
PD-00382-0075;2011;$543.190,00;$27.600,00;$87.400,00;$14.000,00;$10.900,00;$306.500,00;$989.590,00
PD-00382-0076;2011;$597.020,00;$9.000,00;$19.500,00;$81.000,00;$75.000,00;$133.000,00;$914.520,00
PD-00382-0077;2011;$1.207.285,00;$211.920,00;$179.910,00;$57.600,00;$397.000,00;$530.680,00;$2.584.395,00
PD-00382-0078;2011;$485.923,20;;;;$75.000,00;$180.264,76;$741.187,96
PD-00382-0079;2012;$896.880,00;$8.000,00;$80.000,00;$5.600,00;$92.500,00;$33.600,00;$1.116.580,00
PD-00382-0080;2011;$704.540,00;$65.400,00;$296.092,90;$8.000,00;$394.700,00;$660.620,00;$2.129.352,90
PD-00382-0081;2012;$293.716,00;$5.000,00;$30.278,04;;;$55.000,00;$383.994,04
PD-00382-0082;2012;$91.788,96;$31.000,00;$416.236,00;$694.743,00;$31.577,00;$382.999,00;$1.648.343,96
PD-00382-0083;2013;$249.624,00;$18.350,00;;;$10.148.600,00;$86.000,00;$10.502.574,00
PD-00382-0084;2014;$319.210,00;$31.000,00;$22.842,00;$38.500,00;;$173.800,00;$585.352,00
PD-00382-0085;2015;$212.745,00;$19.000,00;$58.000,00;$30.000,00;$125.000,00;$186.000,00;$630.745,00
PD-00382-0087;2015;$1.123.200,00;$20.000,00;$143.846,56;$19.800,00;$301.000,00;$327.900,00;$1.935.746,56
PD-00382-0088;2015;$996.260,00;$6.000,00;$134.500,00;$5.000,00;$54.000,00;$5.000,00;$1.200.760,00
PD-00382-0089;2015;$1.170.525,00;$4.000,00;$1.000,00;;$3.000,00;$385.000,00;$1.563.525,00
PD-00382-0090;2015;$574.800,00;;$3.000,00;$30.000,00;$10.000,00;$104.400,00;$722.200,00
PD-00382-0091;2016;$369.300,00;$14.500,00;$31.944,84;;;$1.347.700,00;$1.763.444,84
