CodProj;Ano Carregamento;Recursos Humanos;Viagens e Diárias;Outras despesas;Material de Consumo;Material Permanente;Serviço de Terceiros;Custo Total Previsto
PD-06491-0405;2017;$595.593,53;$217.160,00;$172.288,32;$18.701,00;$574.436,04;$14.400,00;$1.592.578,89
PD-06491-0407;2019;$3.747.179,00;$328.000,00;$350.737,70;$30.000,00;$1.682.457,28;$143.488,00;$6.281.861,98
PD-06491-0411;2018;$4.432.289,28;$85.549,92;$607.766,85;$49.483,64;$993.960,17;$97.332,47;$6.266.382,33
PD-06491-0417;2020;$2.110.036,00;$353.480,00;$818.928,54;$701.936,09;$1.855.361,40;$947.543,18;$6.787.285,21
PD-06491-0419;2019;$4.152.003,84;$136.000,00;$623.949,60;$570.000,00;$779.000,00;$210.000,00;$6.470.953,44
PD-06491-0421;2019;$3.359.280,96;$106.000,00;$884.496,72;$140.000,00;$1.381.950,00;$4.500.000,00;$10.371.727,68
PD-06491-0427;2016;$3.917.840,00;$195.780,00;$12.000,00;;$22.080,00;$439.600,00;$4.587.300,00
PD-06491-0445;2020;$7.053.678,28;$89.100,00;$585.360,00;$630.000,00;$201.200,00;$374.100,00;$8.933.438,28
PD-06491-0449;2019;$3.209.190,30;$216.000,00;$318.800,00;$36.000,00;$136.000,00;$100.000,00;$4.015.990,30
PD-06491-0455;2018;$3.544.512,00;$120.000,00;$440.560,00;$84.000,00;$922.750,00;$252.500,00;$5.364.322,00
PD-06491-0481;2020;$3.272.876,00;$40.800,00;$400.700,00;$188.000,00;$795.500,00;$80.000,00;$4.777.876,00
PD-06491-0503;2019;$5.625.711,42;$740.400,00;$1.099.320,00;;$1.176.000,00;$430.000,00;$9.071.431,42
PD-06491-0509;2020;$2.404.155,60;$229.200,00;$369.845,12;$266.000,00;$44.000,00;$189.000,00;$3.502.200,72
PD-06491-0511;2019;$2.697.915,60;$229.200,00;$374.924,96;$378.000,00;$44.000,00;$15.000,00;$3.739.040,56
PD-06491-0513;2019;$2.899.515,60;$230.435,00;$353.085,12;$452.000,00;$44.000,00;$15.000,00;$3.994.035,72
PD-06491-0523;2020;$2.286.650,76;$171.600,00;$601.204,48;$614.170,00;$2.048.778,18;$142.000,00;$5.864.403,42
PD-06491-0531;2020;$1.986.102,51;$75.000,00;$222.369,60;;$26.000,00;;$2.309.472,11
PD-06491-0541;2019;$6.242.661,20;$289.800,00;$828.000,00;$325.000,00;$976.500,00;$2.088.000,00;$10.749.961,20
PD-06491-0553;2020;$5.817.862,16;$193.000,00;$625.935,76;$40.000,00;$339.935,99;$430.000,00;$7.446.733,91
PD-06491-0563;2020;$2.386.876,16;$129.000,00;$710.695,20;;$88.000,00;;$3.314.571,36
PD-06491-0565;2020;$5.848.585,60;$108.000,00;$823.145,60;;$240.000,00;$200.000,00;$7.219.731,20
PD-06509-0001;2018;$1.114.540,00;$97.770,00;$357.790,45;$14.420,00;$426.495,73;$463.750,00;$2.474.766,18
PD-06509-0004;2018;$1.114.540,00;$97.770,00;$357.790,45;$14.420,00;$426.495,73;$463.750,00;$2.474.766,18
PD-06509-0005;2018;$1.114.540,00;$97.770,00;$357.790,45;$14.420,00;$426.495,73;$463.750,00;$2.474.766,18
PD-06509-0006;2018;$1.114.540,00;$97.770,00;$357.790,45;$14.420,00;$426.495,73;$463.750,00;$2.474.766,18
PD-06509-0007;2018;$1.114.540,00;$97.770,00;$357.790,45;$14.420,00;$426.495,73;$463.750,00;$2.474.766,18
PD-06509-0008;2018;$1.114.540,00;$97.770,00;$357.790,45;$14.420,00;$426.495,73;$463.750,00;$2.474.766,18
PD-06509-0009;2018;$1.114.540,00;$97.770,00;$357.790,45;$14.420,00;$426.495,73;$463.750,00;$2.474.766,18
PD-06509-0010;2018;$1.114.540,00;$97.770,00;$357.790,45;$14.420,00;$426.495,73;$463.750,00;$2.474.766,18
PD-06509-0011;2018;$1.114.540,00;$97.770,00;$357.790,45;$14.420,00;$426.495,73;$463.750,00;$2.474.766,18
PD-06509-0012;2018;$1.114.540,00;$97.770,00;$357.790,45;$14.420,00;$426.495,73;$463.750,00;$2.474.766,18
PD-06509-0013;2018;$1.114.540,00;$97.770,00;$357.790,45;$14.420,00;$426.495,73;$463.750,00;$2.474.766,18
PD-06585-0901;2009;$1.738.196,35;$245.880,00;;;;;$1.984.076,35
PD-06585-1002;2010;$710.748,00;$36.000,00;$95.401,66;;$100.000,00;;$942.149,66
PD-06585-1003;2010;$268.800,10;$9.360,00;$23.442,01;$36.000,00;;$12.316,80;$349.918,91
PD-06585-1004;2010;$861.048,00;$32.000,00;$53.056,40;;$40.000,00;;$986.104,40
PD-06585-1005;2010;$475.120,00;$45.300,00;$66.469,80;;$171.700,00;$138.400,00;$896.989,80
PD-06585-1006;2010;$384.500,70;$50.200,00;$63.182,61;;$21.500,00;;$519.383,31
PD-06585-1007;2010;$133.040,00;$6.000,00;$13.202,00;;$29.000,00;$33.000,00;$214.242,00
PD-06585-1008;2010;$91.200,00;$40.500,00;$32.332,70;;$205.044,00;$45.100,00;$414.176,70
PD-06585-1009;2010;$115.200,00;$34.500,00;$27.296,05;;$86.461,00;$41.800,00;$305.257,05
PD-06585-1010;2010;$326.400,00;$16.000,00;$42.642,99;$6.000,00;;$155.040,00;$546.082,99
PD-06585-1011;2010;$392.840,00;$101.500,00;$31.444,99;;$21.500,00;$75.000,00;$622.284,99
PD-06585-1101;2011;$862.880,00;$54.060,00;$118.288,99;;$520.196,80;$80.400,00;$1.635.825,79
PD-06585-1102;2011;$3.009.512,00;$217.400,00;$165.477,60;$5.000,00;$427.160,00;$400.000,00;$4.224.549,60
PD-06585-1103;2011;$509.664,00;$120.000,00;$49.085,20;;$139.000,00;$48.000,00;$865.749,20
PD-06585-1104;2011;$402.205,00;$4.210,00;$20.114,25;;;;$426.529,25
PD-06585-1106;2011;$721.900,00;$80.300,00;$101.190,00;$2.500,00;$441.000,00;$462.672,00;$1.809.562,00
PD-06585-1201;2012;$282.917,56;$60.000,00;$30.895,89;;$671.750,00;$457.500,00;$1.503.063,45
PD-06585-1202;2012;$900.000,00;$108.003,00;;;$6.500,00;$181.344,00;$1.195.847,00
PD-06585-1203;2012;$835.408,00;$102.802,00;$49.230,40;;$25.000,00;;$1.012.440,40
PD-06585-1204;2012;$299.217,44;$32.001,00;$128.803,43;;$326.000,00;$396.000,00;$1.182.021,87
PD-06585-1205;2012;$1.249.764,00;$93.379,00;$54.824,00;;$13.600,00;$432.630,00;$1.844.197,00
PD-06585-1206;2012;$1.260.038,00;$221.902,00;;;;$824.907,92;$2.306.847,92
PD-06585-1207;2012;;$18.000,00;$30.000,00;;$57.000,00;$302.060,28;$407.060,28
PD-06585-1403;2014;;$76.799,97;$54.400,03;;$381.500,00;$60.000,00;$572.700,00
PD-06585-1404;2014;$716.040,00;$60.000,00;$35.802,00;;$38.000,00;$146.000,00;$995.842,00
PD-06585-1405;2014;$472.248,44;$107.600,01;$47.224,84;;$1.432.600,00;$923.315,10;$2.982.988,39
PD-06585-1406;2014;$2.079.222,00;$437.045,04;;;$1.340.764,59;$672.000,00;$4.529.031,63
PD-06585-1407;2014;$1.189.260,00;$135.210,00;$128.626,00;$40.000,00;$23.700,00;$95.000,00;$1.611.796,00
PD-06585-1408;2014;$503.040,00;$55.000,00;$58.304,00;;$33.900,00;$4.000,00;$654.244,00
PD-06585-1410;2014;$2.121.440,00;$144.600,00;$212.144,00;;$30.000,00;;$2.508.184,00
PD-06585-1501;2015;$691.800,00;$36.400,00;$73.580,00;;$364.400,00;$76.000,00;$1.242.180,00
PD-06585-1802;2018;$1.304.100,00;$149.600,00;$130.410,00;;;$428.640,00;$2.012.750,00
PD-06585-1902;2019;$441.697,50;$124.000,00;$92.575,00;$80.000,00;$850.472,90;$415.120,00;$2.003.865,40
PD-06585-1906;2019;$2.427.698,40;$50.000,00;$227.300,03;$35.000,00;$92.776,00;$215.000,00;$3.047.774,43
PD-06585-1907;2019;$319.200,00;$59.000,00;$77.320,00;$85.000,00;$537.800,00;$30.000,00;$1.108.320,00
PD-06585-1912;2019;$3.968.140,00;$155.340,00;$1.210.880,00;$165.000,00;$22.155.700,00;;$27.655.060,00
PD-06587-1806;2018;$4.493.049,84;$117.809,00;$111.820,00;;$160.000,00;$1.697.226,43;$6.579.905,27
PD-06600-0001;2019;$1.841.160,00;$57.000,00;$6.000,00;;$186.000,00;$450.000,00;$2.540.160,00
PD-06600-1301;2013;$5.693.216,40;$450.655,76;$561.228,43;;;;$6.705.100,59
PD-06600-1401;2013;$7.837.065,10;$951.665,73;$888.269,17;;$318.000,00;;$9.995.000,00
PD-06600-1903;2019;$2.779.970,00;$149.000,00;$252.000,00;$90.000,00;$278.000,00;$1.120.000,00;$4.668.970,00
PD-06683-0113;2013;$4.355.640,00;$143.030,00;$0,00;$15.000,00;$167.500,00;$801.000,00;$5.482.170,00
PD-06683-0114;2014;$2.353.920,00;$78.000,00;$59.076,00;$12.000,00;$30.000,00;$528.000,00;$3.060.996,00
PD-06683-0115;2015;$1.400.759,00;$357.619,00;$684.408,00;$67.300,00;$77.000,00;$3.552.712,46;$6.139.798,46
PD-06683-0116;2016;$6.084.868,38;$505.960,00;$231.084,12;$305.550,00;$1.103.354,64;$188.590,93;$8.419.408,07
PD-06683-0118;2018;$3.977.240,00;$359.750,00;$944.900,00;$248.600,00;$3.118.362,60;$611.508,60;$9.260.361,20
PD-06683-0119;2019;$2.606.234,20;$320.000,00;$242.523,33;$113.400,00;$1.190.000,00;$1.150.000,00;$5.622.157,53
PD-06683-0120;2019;$1.919.060,54;$225.000,00;$167.892,00;$5.000,00;$27.000,00;$317.473,60;$2.661.426,14
