Arquivo;CodProj;Data de Início;Data de Conclusão;CNPJ;Entidade;Tipo de Entidade;Unidade Federativa;Região
APLPED04951_RELATORIOFINALPED_0331_S02.XML;PD-04951-0331;17JAN2011;17SEP2014;06981176000158;CEMIG GERAÇÃO E TRANSMISSÃO S.A;Proponente;MG;Sudeste
APLPED04951_RELATORIOFINALPED_0333_S01.XML;PD-04951-0333;04APR2011;04FEB2016;06981176000158;CEMIG GERAÇÃO E TRANSMISSÃO S.A;Proponente;MG;Sudeste
APLPED04951_RELATORIOFINALPED_0334_S01.XML;PD-04951-0334;17MAY2011;17MAY2016;06981176000158;CEMIG GERAÇÃO E TRANSMISSÃO S.A;Proponente;MG;Sudeste
APLPED04951_RELATORIOFINALPED_0335_S01.XML;PD-04951-0335;31MAY2010;30APR2014;06981176000158;CEMIG GERAÇÃO E TRANSMISSÃO S.A;Proponente;MG;Sudeste
APLPED04951_RELATORIOFINALPED_0336_S01.XML;PD-04951-0336;;;06981176000158;CEMIG GERAÇÃO E TRANSMISSÃO S.A;Proponente;MG;Sudeste
APLPED04951_RELATORIOFINALPED_0337_S01.XML;PD-04951-0337;;;06981176000158;CEMIG GERAÇÃO E TRANSMISSÃO S.A;Proponente;MG;Sudeste
APLPED04951_RELATORIOFINALPED_0338_S01.XML;PD-04951-0338;;;06981176000158;CEMIG GERAÇÃO E TRANSMISSÃO S.A;Proponente;MG;Sudeste
APLPED04951_RELATORIOFINALPED_0339_S02.XML;PD-04951-0339;;;06981176000158;CEMIG GERAÇÃO E TRANSMISSÃO S.A;Proponente;MG;Sudeste
APLPED04951_RELATORIOFINALPED_0340_S02.XML;PD-04951-0340;;;06981176000158;CEMIG GERAÇÃO E TRANSMISSÃO S.A;Proponente;MG;Sudeste
APLPED04951_RELATORIOFINALPED_0343_S01.XML;PD-04951-0343;30OCT2010;30NOV2015;06981176000158;CEMIG GERAÇÃO E TRANSMISSÃO S.A;Proponente;MG;Sudeste
APLPED04951_RELATORIOFINALPED_0345_S01.XML;PD-04951-0345;04APR2011;04JUN2015;06981176000158;CEMIG GERAÇÃO E TRANSMISSÃO S.A;Proponente;MG;Sudeste
APLPED04951_RELATORIOFINALPED_0346_S01.XML;PD-04951-0346;01OCT2010;01DEC2014;06981176000158;CEMIG GERAÇÃO E TRANSMISSÃO S.A;Proponente;MG;Sudeste
APLPED04951_RELATORIOFINALPED_0349_S01.XML;PD-04951-0349;30NOV2010;29MAY2015;06981176000158;CEMIG GERAÇÃO E TRANSMISSÃO S.A;Proponente;MG;Sudeste
APLPED04951_RELATORIOFINALPED_0355_S01.XML;PD-04951-0355;01JUN2011;01AUG2014;06981176000158;CEMIG GERAÇÃO E TRANSMISSÃO S.A;Proponente;MG;Sudeste
APLPED04951_RELATORIOFINALPED_0358_S01.XML;PD-04951-0358;;;06981176000158;CEMIG GERAÇÃO E TRANSMISSÃO S.A;Proponente;MG;Sudeste
APLPED04951_RELATORIOFINALPED_0396_S02.XML;PD-04951-0396;;;06981176000158;CEMIG GERAÇÃO E TRANSMISSÃO S.A;Proponente;MG;Sudeste
APLPED04951_RELATORIOFINALPED_0399_S01.XML;PD-04951-0399;;;06981176000158;CEMIG GERAÇÃO E TRANSMISSÃO S.A;Proponente;MG;Sudeste
APLPED04951_RELATORIOFINALPED_0402_S01.XML;PD-04951-0402;01JUN2011;01DEC2014;06981176000158;CEMIG GERAÇÃO E TRANSMISSÃO S.A;Proponente;MG;Sudeste
APLPED04951_RELATORIOFINALPED_0407_S01.XML;PD-04951-0407;06JUN2011;06MAY2014;06981176000158;CEMIG GERAÇÃO E TRANSMISSÃO S.A;Proponente;MG;Sudeste
APLPED04951_RELATORIOFINALPED_0411_S02.XML;PD-04951-0411;;;06981176000158;CEMIG GERAÇÃO E TRANSMISSÃO S.A;Proponente;MG;Sudeste
APLPED04951_RELATORIOFINALPED_0413_S01.XML;PD-04951-0413;;;06981176000158;CEMIG GERAÇÃO E TRANSMISSÃO S.A;Proponente;MG;Sudeste
APLPED04951_RELATORIOFINALPED_0418_S01.XML;PD-04951-0418;;;06981176000158;CEMIG GERAÇÃO E TRANSMISSÃO S.A;Proponente;MG;Sudeste
APLPED04951_RELATORIOFINALPED_0453_S04.XML;PD-04951-0453;;;06981176000158;CEMIG GERAÇÃO E TRANSMISSÃO S.A;Proponente;MG;Sudeste
APLPED04951_RELATORIOFINALPED_0455_S01.XML;PD-04951-0455;;;06981176000158;CEMIG GERAÇÃO E TRANSMISSÃO S.A;Proponente;MG;Sudeste
