"","item","fonte_de_dados","titulo","titulo2","data_assinatura","data_limite","duracao_dias","duracao_meses","duracao_anos","valor_contratado","natureza_do_agente_executor","natureza_do_financiamento","modalidade_do_financiamento","nome_do_agente_Executor","valor_liberado_2013","valor_liberado_2014","valor_liberado_2015","valor_liberado_2016","valor_liberado_2017","valor_liberado_2018","valor_liberado_2019","valor_liberado_2020","valor_liberado_2021","iea1_1","iea1_2","iea1_3","iea1_4","iea2_1","iea2_2","iea2_3","iea3_1","iea3_2","iea3_3","iea3_4","iea3_5","iea3_6","iea3_7","iea4_1","iea4_2","iea5_1","iea5_2","iea6_1","iea6_2","iea6_3","iea7_1","iea7_2"
"2260","Finep-09.14.0037.00","Finep","Chica Doida","chica doida",2014-07-16,2016-01-16,549,18.0369609856263,1,112000000,"Empresa Privada","Privado orientado por política","Reembolsável","SJC BIOENERGIA LTDA",45920000,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"2261","Finep-09.14.0037.00","Finep","Chica Doida","chica doida",2014-07-16,2016-01-16,549,18.0369609856263,1,112000000,"Empresa Privada","Privado orientado por política","Reembolsável","SJC BIOENERGIA LTDA",13440000,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"2262","Finep-09.14.0038.00","Finep","PROJETOS MEDABIL 2013","projetos medabil 2013",2014-07-17,2017-07-17,1096,36.0082135523614,3,27841445.1,"Empresa Privada","Privado orientado por política","Reembolsável","MEDABIL SISTEMAS CONSTRUTIVOS S/A",1856096.34,1856096.34,1856096.34,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"2263","Finep-09.14.0038.00","Finep","PROJETOS MEDABIL 2013","projetos medabil 2013",2014-07-17,2017-07-17,1096,36.0082135523614,3,27841445.1,"Empresa Privada","Privado orientado por política","Reembolsável","MEDABIL SISTEMAS CONSTRUTIVOS S/A",2320120.42666667,2320120.42666667,2320120.42666667,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"2264","Finep-09.14.0039.00","Finep","Tecnologias Inovadoras de Telecomunicações - Hexagon","tecnologias inovadoras de telecomunicacoes - hexagon",2014-07-17,2016-07-17,731,24.0164271047228,2,7360740,"Empresa Privada","Privado orientado por política","Reembolsável","Hexagon Comercial e Telecomunicações LTDA",231342.5,231342.5,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"2265","Finep-09.14.0039.00","Finep","Tecnologias Inovadoras de Telecomunicações - Hexagon","tecnologias inovadoras de telecomunicacoes - hexagon",2014-07-17,2016-07-17,731,24.0164271047228,2,7360740,"Empresa Privada","Privado orientado por política","Reembolsável","Hexagon Comercial e Telecomunicações LTDA",688750,688750,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"2266","Finep-09.14.0040.00","Finep","Plano Diretor de Inovação","plano diretor de inovacao",2014-07-28,2018-07-28,1461,48,4,290671128,"Empresa Privada","Privado orientado por política","Reembolsável","Hypermarcas S.A.",13305833.885,13305833.885,13305833.885,13305833.885,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"2267","Finep-09.14.0040.00","Finep","Plano Diretor de Inovação","plano diretor de inovacao",2014-07-28,2018-07-28,1461,48,4,290671128,"Empresa Privada","Privado orientado por política","Reembolsável","Hypermarcas S.A.",4861111.615,4861111.615,4861111.615,4861111.615,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"2268","Finep-09.14.0040.00","Finep","Plano Diretor de Inovação","plano diretor de inovacao",2014-07-28,2018-07-28,1461,48,4,290671128,"Empresa Privada","Privado orientado por política","Reembolsável","Hypermarcas S.A.",23253690.24,23253690.24,23253690.24,23253690.24,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"2269","Finep-09.14.0040.00","Finep","Plano Diretor de Inovação","plano diretor de inovacao",2014-07-28,2018-07-28,1461,48,4,290671128,"Empresa Privada","Privado orientado por política","Reembolsável","Hypermarcas S.A.",31247146.25,31247146.25,31247146.25,31247146.25,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"2270","Finep-09.14.0041.00","Finep","CONCEPÇÃO E DESENVOLVIMENTO DO SISTEMA INTEGRADO DE PREVENÇÃO A LAVAGEM DE DINHEIRO","concepcao e desenvolvimento do sistema integrado de prevencao a lavagem de dinheiro",2014-07-31,2016-01-31,549,18.0369609856263,1,39912583.57,"Empresa Privada","Privado orientado por política","Reembolsável","RESOURCE TECNOLOGIA E INFORMÁTICA Ltda.",15965033.43,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"2271","Finep-09.14.0041.00","Finep","CONCEPÇÃO E DESENVOLVIMENTO DO SISTEMA INTEGRADO DE PREVENÇÃO A LAVAGEM DE DINHEIRO","concepcao e desenvolvimento do sistema integrado de prevencao a lavagem de dinheiro",2014-07-31,2016-01-31,549,18.0369609856263,1,39912583.57,"Empresa Privada","Privado orientado por política","Reembolsável","RESOURCE TECNOLOGIA E INFORMÁTICA Ltda.",11973775.07,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"2272","Finep-09.14.0042.00","Finep","Desenvolvimento Continuo PD&I","desenvolvimento continuo pd&i",2014-07-31,2017-01-31,915,30.0616016427105,2,44895415.14,"Empresa Privada","Privado orientado por política","Reembolsável","Locaweb Serviços de Internet SA",6734312.27,6734312.27,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"2273","Finep-09.14.0042.00","Finep","Desenvolvimento Continuo PD&I","desenvolvimento continuo pd&i",2014-07-31,2017-01-31,915,30.0616016427105,2,44895415.14,"Empresa Privada","Privado orientado por política","Reembolsável","Locaweb Serviços de Internet SA",6734312.27,6734312.27,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"2274","Finep-09.14.0042.00","Finep","Desenvolvimento Continuo PD&I","desenvolvimento continuo pd&i",2014-07-31,2017-01-31,915,30.0616016427105,2,44895415.14,"Empresa Privada","Privado orientado por política","Reembolsável","Locaweb Serviços de Internet SA",8979083.03,8979083.03,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"2275","Finep-09.14.0043.00","Finep","Swift Mercado da Carne","swift mercado da carne",2014-08-04,2016-08-04,731,24.0164271047228,2,101331611.26,"Empresa Privada","Privado orientado por política","Reembolsável","JBS S.A.",15174741.69,15174741.69,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"2276","Finep-09.14.0043.00","Finep","Swift Mercado da Carne","swift mercado da carne",2014-08-04,2016-08-04,731,24.0164271047228,2,101331611.26,"Empresa Privada","Privado orientado por política","Reembolsável","JBS S.A.",15617035.415,15617035.415,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"2277","Finep-09.14.0043.00","Finep","Swift Mercado da Carne","swift mercado da carne",2014-08-04,2016-08-04,731,24.0164271047228,2,101331611.26,"Empresa Privada","Privado orientado por política","Reembolsável","JBS S.A.",25000,25000,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
