"","id","fonte_dados","data_assinatura","data_limite","duracao_dias","titulo_projeto","status_projeto","valor_contratado","valor_executado_2013_2020","nome_agente_financiador","natureza_agente_financiador","modalidade_financiamento","nome_agente_executor","natureza_agente_executor","uf_ag_executor","regiao_ag_executor","p&d_ou_demonstracao","valor_executado_2013","valor_executado_2014","valor_executado_2015","valor_executado_2016","valor_executado_2017","valor_executado_2018","valor_executado_2019","valor_executado_2020","iea1_1","iea1_2","iea1_3","iea1_4","iea2_1","iea2_2","iea2_3","iea3_1","iea3_2","iea3_3","iea3_4","iea3_5","iea3_6","iea3_7","iea4_1","iea4_2","iea5_1","iea5_2","iea6_1","iea6_2","iea6_3","iea7_1","iea7_2"
"1604","Aneel-PD-05160-1806","Aneel",2018-12-27,2020-12-26,730,"Plataforma Inteligente para Inspeção e Diagnóstico por Imagens Aéreas Multiespectrais aplicada em manutenção de linhas de distribuição.","EM ATRASO",2052237.24,2052237.24,"CEB DISTRIBUIÇÃO S.A.","Empresa Privada",NA,NA,"Empresa Privada",NA,NA,NA,0,0,0,0,0,11245.1355616438,1023307.33610959,1012062.20054795,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
"1605","Aneel-PD-05160-1803","Aneel",2018-12-27,2021-12-26,1095,"Subestação Subterrânea Hermética, Pressurizada, Automatizada e Isolada","EM EXECUÇÃO",7116462.49,4776803.58917808,"CEB DISTRIBUIÇÃO S.A.","Empresa Privada",NA,NA,"Empresa Privada",NA,NA,NA,0,0,0,0,0,25996.2100091324,2365655.11083105,2372154.16333333,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"1606","Aneel-PD-05160-1805","Aneel",2018-12-27,2021-06-27,913,"Estudo e desenvolvimento piloto de novos modelos de serviços e infraestrutura de TIC voltados ao uso de antenas de telecomunicações da rede de distribuição da CEB alinhados ao cenário de SG e IoT","EM ATRASO",1820972.54,1465952.70197152,"CEB DISTRIBUIÇÃO S.A.","Empresa Privada",NA,NA,"Empresa Privada",NA,NA,NA,0,0,0,0,0,7977.97388828039,725995.623833516,727990.117305586,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"1607","Aneel-PD-08469-0001","Aneel",2019-01-02,2022-01-01,1095,"Avaliação e Homologação de Operadores de Subestação Utilizando Simulador para Treinamento baseado em Inteligência Artificial","EM EXECUÇÃO",1332000,886783.561643836,"SÃO JOÃO TRANSMISSORA DE ENERGIA S.A.","Empresa Privada",NA,NA,"Empresa Privada",NA,NA,NA,0,0,0,0,0,0,441567.123287671,444000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"1608","Aneel-PD-04951-0611","Aneel",2019-01-03,2023-05-04,1582,"Descomissionamento da PCH Pandeiros: uma experiência inédita na América do Sul","EM EXECUÇÃO",6514283.57,2997723.41274336,"CEMIG GERAÇÃO E TRANSMISSÃO S.A","Empresa Privada",NA,NA,"Empresa Privada",NA,NA,NA,0,0,0,0,0,0,1490626.20249052,1502979.45831226,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"1609","Aneel-PD-04951-0624","Aneel",2019-01-03,2023-05-04,1582,"Diagnóstico das condições para a desova e o recrutamento das espécies de peixes migradores a montante e a jusante da UHE Três Marias a ser desenvolvido em parceria com Cemig Geração e Transmissão S/A","EM EXECUÇÃO",2589191.14,1191486.18831858,"CEMIG GERAÇÃO E TRANSMISSÃO S.A","Empresa Privada",NA,NA,"Empresa Privada",NA,NA,NA,0,0,0,0,0,0,592469.78045512,597379.751011378,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"1610","Aneel-PD-04950-0645","Aneel",2019-01-03,2021-01-29,757,"D0645 - Solução para Gestão de Dossiês Técnicos do Grupo CEMIG","CONCLUÍDO",2342827.76,2253076.10208719,"CEMIG DISTRIBUIÇÃO S.A","Empresa Privada",NA,NA,"Empresa Privada",NA,NA,NA,0,0,0,0,0,0,1120348.28153236,1129632.93579921,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"1611","Aneel-PD-04951-0635","Aneel",2019-01-03,2022-01-02,1095,"GT0635-Uso de ferramentas inovadoras para a detecção e monitoramento de peixes em ambientes de água doce","EM EXECUÇÃO",3252006.57,2162064.6419726,"CEMIG GERAÇÃO E TRANSMISSÃO S.A","Empresa Privada",NA,NA,"Empresa Privada",NA,NA,NA,0,0,0,0,0,0,1075092.5829589,1084002.19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"1612","Aneel-PD-04950-0623","Aneel",2019-01-03,2022-05-04,1217,"Sistema para Medição da Impedância Transitória de Malhas de Aterramento de Estruturas de Linhas de Transmissão utilizando Ondas Impulsivas e Cabos de Pequeno Comprimento - Etapa Final de Ensaios","EM EXECUÇÃO",3740110,2237304.91372227,"CEMIG DISTRIBUIÇÃO S.A","Empresa Privada",NA,NA,"Empresa Privada",NA,NA,NA,0,0,0,0,0,0,1112506.01479047,1121725.67789647,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"1613","Aneel-PD-00394-1710","Aneel",2019-01-10,2022-01-09,1095,"TRANSDUTORES DE NANOTUBOS DE CARBONO-PASTAS DE CIMENTO PARA MONITORAMENTO DE DEFORMAÇÕES ESTÁTICAS E DINÂMICAS EM BARRAGENS DE CONCRETO","EM EXECUÇÃO",6428531.78,4232850.60582648,"FURNAS-CENTRAIS ELÉTRICAS S.A.","Empresa Privada",NA,NA,"Empresa Privada",NA,NA,NA,0,0,0,0,0,0,2084135.87388128,2142843.92666667,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
