"","X","id","fonte_de_dados","data_assinatura","data_limite","duracao_dias","titulo_projeto","status_projeto","valor_contratado","valor_executado_2013_2020","nome_agente_financiador","natureza_agente_financiador","modalidade_financiamento","nome_agente_executor","natureza_agente_executor","uf_ag_executor","regiao_ag_executor","natureza_financiamento","p.d_ou_demonstracao","valor_executado_2013","valor_executado_2014","valor_executado_2015","valor_executado_2016","valor_executado_2017","valor_executado_2020","motor","categorias","cat2","existe"
"1061",1061,"ANEEL-PD-00404-1512","ANEEL","2015-10-27","2019-08-19",1392,"Sistema Inteligente e Integrado de Operação para Maximização da Continuidade de Fornecimento de Energia Elétrica","CONCLUÍDO",4241173,4228985.72126437,"ENERGISA MATO GROSSO DO SUL - DISTRIBUIDORA DE ENERGIA S.A.","Empresa Privada","Não se Aplica",NA,"Empresa Privada",NA,NA,"Publicamente Orientado",NA,0,0,198043.279454023,1112089.18462644,1109042.36494253,0,"sistema inteligente e integrado de operacao para maximizacao da continuidade de fornecimento de energia eletrica distribuicao operacao de sistemas de energia eletrica","nenhuma categoria encontrada",6.2,"sim"
"1062",1062,"ANEEL-PD-05785-4101","ANEEL","2015-10-30","2017-10-29",730,"Protótipo de sistema de diagnóstico de hidrogeradores a partir do  monitoramento permanente e em tempo real de parâmetros da função geração","EM ATRASO",2165478,2159545.18356164,"COMPANHIA ESTADUAL DE TRANSMISSÃO DE ENERGIA ELÉTRICA - CEEE-T","Empresa Privada","Não se Aplica",NA,"Empresa Privada",NA,NA,"Publicamente Orientado",NA,0,0,183917.309589041,1082739,892888.873972603,0,"prototipo de sistema de diagnostico de hidrogeradores a partir do  monitoramento permanente e em tempo real de parametros da funcao geracao geracao supervisao, controle e protecao de sistemas de energia eletrica","6.2",6.2,"sim"
"1063",1063,"ANEEL-PD-00391-0019","ANEEL","2015-10-30","2021-01-01",1890,"Geração distribuída urbana utilizando sistemas fotovoltaicos e armazenamento de curto prazo: serviços ancilares, avaliação dos impactos para a distribuidora e desenvolvimento de modelos de negócio","CONCLUÍDO",7486000,7462234.92063492,"EDP SÃO PAULO DISTRIBUIÇÃO DE ENERGIA S.A.","Empresa Privada","Não se Aplica",NA,"Empresa Privada",NA,NA,"Publicamente Orientado",NA,0,0,245572.486772487,1445708.99470899,1441748.14814815,1445708.99470899,"geracao distribuida urbana utilizando sistemas fotovoltaicos e armazenamento de curto prazo: servicos ancilares, avaliacao dos impactos para a distribuidora e desenvolvimento de modelos de negocio distribuicao fontes alternativas de geracao de energia eletrica","""6.2"", ""6.3""",3.1,"sim"
"1064",1064,"ANEEL-PD-02866-0390","ANEEL","2015-11-03","2018-11-02",1095,"DESENVOLVIMENTO DE PRODUTOS PARA A LIMPEZA DE FERRAMENTAS PARA EQUIPAMENTOS DE PROTEÇÃO INDIVIDUAL E COLETIVA APLICADOS NO SERVIÇO DE REDES ENERGIZADAS","EM ATRASO",2803408.64,2795728.06838356,"COPEL DISTRIBUIÇÃO S.A.","Empresa Privada","Não se Aplica",NA,"Empresa Privada",NA,NA,"Publicamente Orientado",NA,0,0,148491.051251142,934469.546666667,931909.356127854,0,"desenvolvimento de produtos para a limpeza de ferramentas para equipamentos de protecao individual e coletiva aplicados no servico de redes energizadas distribuicao seguranca","nenhuma categoria encontrada",6.2,"sim"
"1065",1065,"ANEEL-PD-02866-0410","ANEEL","2015-11-03","2018-11-02",1095,"DESENVOLVIMENTO DE PROTÓTIPOS DE EQUIPAMENTOS PARA ENSAIO MECÂNICO EM EPI E EPC UTILIZADOS EM TRABALHOS COM LINHA VIVA","EM ATRASO",2428639.84,2421986.03221918,"COPEL DISTRIBUIÇÃO S.A.","Empresa Privada","Não se Aplica",NA,"Empresa Privada",NA,NA,"Publicamente Orientado",NA,0,0,128640.283762557,809546.613333333,807328.677406393,0,"desenvolvimento de prototipos de equipamentos para ensaio mecanico em epi e epc utilizados em trabalhos com linha viva distribuicao seguranca","nenhuma categoria encontrada",6.2,"sim"
"1066",1066,"ANEEL-PD-06683-0315","ANEEL","2015-11-09","2017-11-08",730,"Desenvolvimento de Cabeça de Série de Simulador da Operação de Usina Hidroelétrica - SOUH","EM ATRASO",7965294.22,7943471.49610959,"SANTO ANTÔNIO ENERGIA S.A.","Empresa Privada","Não se Aplica","Santo Antônio Energia S.A.","Empresa Privada","SP","SE","Publicamente Orientado",NA,0,0,567390.821150685,3982647.11,3393433.5649589,0,"desenvolvimento de cabeca de serie de simulador da operacao de usina hidroeletrica - souh geracao supervisao, controle e protecao de sistemas de energia eletrica","""3.6"", ""6.2""",6.2,"sim"
"1067",1067,"ANEEL-PD-00381-0007","ANEEL","2015-11-17","2018-07-27",983,"Nacionalização de Microinversor Fotovoltaico de 500 Wp com Alto Rendimento e em Conformidade com os Requisitos de Qualidade de Energia da Resolução Normativa ANEEL 482/2012","CONCLUÍDO",1036140,1032977.82299084,"EMPRESA LUZ E FORÇA SANTA MARIA S/A","Empresa Privada","Não se Aplica","Empresa Luz e Força Santa Maria S.A.","Empresa Privada","ES","SE","Publicamente Orientado",NA,0,0,46378.5961342828,384731.536113937,383677.477110885,0,"nacionalizacao de microinversor fotovoltaico de 500 wp com alto rendimento e em conformidade com os requisitos de qualidade de energia da resolucao normativa aneel 482/2012 distribuicao fontes alternativas de geracao de energia eletrica","nenhuma categoria encontrada",3.7,"sim"
"1068",1068,"ANEEL-PD-00075-1506","ANEEL","2015-11-18","2019-04-12",1241,"Desenvolvimento de infraestrutura de interoperabilidade para apoiar os processos de negócios de uma distribuidora permitindo a utilização de dados complexos no acompanhamento e operação do sistema..","CONCLUÍDO",686556.4,684343.48654311,"Companhia Nacional de Energia Elétrica","Empresa Privada","Não se Aplica",NA,"Empresa Privada",NA,NA,"Publicamente Orientado",NA,0,0,23788.8196615633,201928.352941176,201375.124576954,0,"desenvolvimento de infraestrutura de interoperabilidade para apoiar os processos de negocios de uma distribuidora permitindo a utilizacao de dados complexos no acompanhamento e operacao do sistema.. distribuicao operacao de sistemas de energia eletrica","nenhuma categoria encontrada",6.2,"sim"
"1069",1069,"ANEEL-PD-00032-1509","ANEEL","2015-11-18","2019-05-08",1267,"Desenvolvimento de Modelo de Automação e Otimização do Despacho Dinâmico de Equipes baseado em Indicadores.","CONCLUÍDO",1423356,1418862.37411208,"ENERGISA TOCANTINS DISTRIBUIDORA DE ENERGIA S.A.","Empresa Privada","Não se Aplica",NA,"Empresa Privada",NA,NA,"Publicamente Orientado",NA,0,0,48306.4782951855,410043.362273086,408919.955801105,0,"desenvolvimento de modelo de automacao e otimizacao do despacho dinamico de equipes baseado em indicadores. distribuicao planejamento de sistemas de energia eletrica","7.1",7.1,"sim"
"1070",1070,"ANEEL-PD-00084-1516","ANEEL","2015-11-19","2018-01-18",791,"Otimização de Manutenção e Reenergização de Redes de Distribuição sob Condição de Falta Através de Sistema Próprio de Sinalização..","EM ATRASO",1246052,1241326.13906448,"Companhia Força e Luz do Oeste","Empresa Privada","Não se Aplica",NA,"Empresa Privada",NA,NA,"Publicamente Orientado",NA,0,0,66162.0530973451,574979.747155499,573404.460176991,0,"otimizacao de manutencao e reenergizacao de redes de distribuicao sob condicao de falta atraves de sistema proprio de sinalizacao.. distribuicao supervisao, controle e protecao de sistemas de energia eletrica","6.2",6.2,"sim"
