"","X","id","fonte_de_dados","data_assinatura","data_limite","duracao_dias","titulo_projeto","status_projeto","valor_contratado","valor_executado_2013_2020","nome_agente_financiador","natureza_agente_financiador","modalidade_financiamento","nome_agente_executor","natureza_agente_executor","uf_ag_executor","regiao_ag_executor","natureza_financiamento","p.d_ou_demonstracao","valor_executado_2013","valor_executado_2014","valor_executado_2015","valor_executado_2016","valor_executado_2017","valor_executado_2020","motor","categorias","cat2","existe"
"252",252,"ANEEL-PD-00047-0058","ANEEL","2011-08-05","2013-08-04",730,"Identificação e análise de irregularidades detectadas internamente em medidores eletrônicos, com e sem memória de massa, e estruturação e construção de banco de dados.","CANCELADO",558440,164472.054794521,"COMPANHIA DE ELETRICIDADE DO ESTADO DA BAHIA","Empresa Privada","Não se Aplica",NA,"Empresa Privada",NA,NA,"Publicamente Orientado",NA,164472.054794521,0,0,0,0,0,"identificacao e analise de irregularidades detectadas internamente em medidores eletronicos, com e sem memoria de massa, e estruturacao e construcao de banco de dados. distribuicao medicao, faturamento e combate a perdas comerciais","nenhuma categoria encontrada",NA,"não"
"253",253,"ANEEL-PD-05697-1410","ANEEL","2011-08-09","2016-12-26",1966,"Desenvolvimento de Sistema Integrado de Geração de Energia para Aumento da Eficiência Energética de Aviários","CONCLUÍDO",810360,598495.788402848,"CELESC DISTRIBUIÇÃO S.A","Empresa Privada","Não se Aplica","CELESC DISTRIBUIÇÃO S.A","Empresa Privada","SC","S","Publicamente Orientado",NA,150036.134282808,150036.134282808,150036.134282808,148387.385554425,0,0,"desenvolvimento de sistema integrado de geracao de energia para aumento da eficiencia energetica de aviarios distribuicao eficiencia energetica","1.4",1.4,"sim"
"254",254,"ANEEL-PD-05697-1510","ANEEL","2011-08-09","2013-02-06",547,"Aplicação de Modelos de Eficiência Energética Gerados por um Sistema Especialista sobre o Cenário de Medidores Inteligentes","CANCELADO",1117593.8,73552.7912248629,"CELESC DISTRIBUIÇÃO S.A","Empresa Privada","Não se Aplica",NA,"Empresa Privada",NA,NA,"Publicamente Orientado",NA,73552.7912248629,0,0,0,0,0,"aplicacao de modelos de eficiencia energetica gerados por um sistema especialista sobre o cenario de medidores inteligentes distribuicao eficiencia energetica","""1.1"", ""1.4""",1.4,"sim"
"255",255,"ANEEL-PD-05697-2410","ANEEL","2011-08-09","2014-08-08",1095,"Ferramentas, Equipamentos e Procedimentos Operacionais, Ergonômicos e Seguros, para Operação de Chaves do Solo e Aterramentos Temporários em Redes Aéreas em Condições Normais e Adversas.","CANCELADO",2461040,1310307.14155251,"CELESC DISTRIBUIÇÃO S.A","Empresa Privada","Não se Aplica",NA,"Empresa Privada",NA,NA,"Publicamente Orientado",NA,818099.141552511,492208,0,0,0,0,"ferramentas, equipamentos e procedimentos operacionais, ergonomicos e seguros, para operacao de chaves do solo e aterramentos temporarios em redes aereas em condicoes normais e adversas. distribuicao seguranca","nenhuma categoria encontrada",6.2,"sim"
"256",256,"ANEEL-PD-05697-1710","ANEEL","2011-08-09","2013-04-08",608,"Implantação de Micro Geração Eólica usando Gerenciamento de Cargas Não-críticas pelo Lado da Demanda no Sapiens Parque","CANCELADO",924620,147513.388157895,"CELESC DISTRIBUIÇÃO S.A","Empresa Privada","Não se Aplica",NA,"Empresa Privada",NA,NA,"Publicamente Orientado",NA,147513.388157895,0,0,0,0,0,"implantacao de micro geracao eolica usando gerenciamento de cargas nao-criticas pelo lado da demanda no sapiens parque distribuicao eficiencia energetica","""1.4"", ""3.2"", ""3.3""",NA,"não"
"257",257,"ANEEL-PD-05697-1810","ANEEL","2011-08-09","2013-04-08",608,"SYNC - Desenvolvimento de Metodologia baseada em Sincrofasores e Algoritmos de Descoberta de Padrões para Melhoria na Regulação de Tensão em Redes de Distribuição de Média Tensão","CANCELADO",663260,105816.151315789,"CELESC DISTRIBUIÇÃO S.A","Empresa Privada","Não se Aplica",NA,"Empresa Privada",NA,NA,"Publicamente Orientado",NA,105816.151315789,0,0,0,0,0,"sync - desenvolvimento de metodologia baseada em sincrofasores e algoritmos de descoberta de padroes para melhoria na regulacao de tensao em redes de distribuicao de media tensao distribuicao supervisao, controle e protecao de sistemas de energia eletrica","""6.2"", ""7.1""",NA,"não"
"258",258,"ANEEL-PD-05697-1910","ANEEL","2011-08-09","2013-06-08",669,"Sistema Especialista para Otimização de Despachos","CANCELADO",2228487.4,526309.430792227,"CELESC DISTRIBUIÇÃO S.A","Empresa Privada","Não se Aplica",NA,"Empresa Privada",NA,NA,"Publicamente Orientado",NA,526309.430792227,0,0,0,0,0,"sistema especialista para otimizacao de despachos distribuicao operacao de sistemas de energia eletrica","nenhuma categoria encontrada",NA,"não"
"259",259,"ANEEL-PD-05697-2110","ANEEL","2011-08-09","2019-03-25",2785,"Estudo, Análise e Implementação de Transformadores Eletrônicos em Sistema Monofásico-trifásico de Distribuição de Energia Elétrica.","CONCLUÍDO",1304910,1062669.97486535,"CELESC DISTRIBUIÇÃO S.A","Empresa Privada","Não se Aplica",NA,"Empresa Privada",NA,NA,"Publicamente Orientado",NA,170551.971274686,170551.971274686,170551.971274686,171020.52064632,170551.971274686,0,"estudo, analise e implementacao de transformadores eletronicos em sistema monofasico-trifasico de distribuicao de energia eletrica. distribuicao eficiencia energetica","1.4",1.4,"sim"
"260",260,"ANEEL-PD-05697-2710","ANEEL","2011-08-09","2018-01-16",2352,"Desenvolvimento de Identificador de Fases para Redes de Distribuição de Média Tensão Utilizando Sincrofasores","CONCLUÍDO",1350660,1054341.73469388,"CELESC DISTRIBUIÇÃO S.A","Empresa Privada","Não se Aplica","CELESC DISTRIBUIÇÃO S.A","Empresa Privada","SC","S","Publicamente Orientado",NA,209030.714285714,209030.714285714,209030.714285714,209604.974489796,209030.714285714,0,"desenvolvimento de identificador de fases para redes de distribuicao de media tensao utilizando sincrofasores distribuicao operacao de sistemas de energia eletrica","6.2",6.2,"sim"
"261",261,"ANEEL-PD-05697-2310","ANEEL","2011-08-09","2018-12-17",2687,"Desenvolvimento de Nova Configuração de Rede Protegida para Aplicação em Regiões com Elevada Agressividade Ambiental.","CONCLUÍDO",2913500,2354003.90770376,"CELESC DISTRIBUIÇÃO S.A","Empresa Privada","Não se Aplica","CELESC DISTRIBUIÇÃO S.A","Empresa Privada","SC","S","Publicamente Orientado",NA,394683.289914403,394683.289914403,394683.289914403,395767.584666915,394683.289914403,0,"desenvolvimento de nova configuracao de rede protegida para aplicacao em regioes com elevada agressividade ambiental. distribuicao eficiencia energetica","1.4",1.4,"sim"
"262",262,"ANEEL-PD-05697-2510","ANEEL","2011-08-09","2018-12-14",2684,"Sistema Computacional com Elementos Reais e Virtuais para Treinamento em Seguranca do Trabalho, considerando a Prevencao e Controle de Riscos em Redes Aereas de Distribuicao de Energia Eletrica","CONCLUÍDO",2936790,2372191.02831595,"CELESC DISTRIBUIÇÃO S.A","Empresa Privada","Não se Aplica","CELESC DISTRIBUIÇÃO S.A","Empresa Privada","SC","S","Publicamente Orientado",NA,398282.995529061,398282.995529061,398282.995529061,399377.179582712,398282.995529061,0,"sistema computacional com elementos reais e virtuais para treinamento em seguranca do trabalho, considerando a prevencao e controle de riscos em redes aereas de distribuicao de energia eletrica distribuicao outros","6.2",6.2,"sim"
"263",263,"ANEEL-PD-05697-2610","ANEEL","2011-08-09","2018-01-16",2352,"Metodologia para Estimação Robusta de Estados com Tratamento Fuzzy de Incertezas de Sistemas Trifásicos Desequilibrados em Ambientes com Redes de Distribuição Ativas e Inteligentes (smart-grid)","CONCLUÍDO",968766,756230.602040816,"CELESC DISTRIBUIÇÃO S.A","Empresa Privada","Não se Aplica","CELESC DISTRIBUIÇÃO S.A","Empresa Privada","SC","S","Publicamente Orientado",NA,149928.071428571,149928.071428571,149928.071428571,150339.961734694,149928.071428571,0,"metodologia para estimacao robusta de estados com tratamento fuzzy de incertezas de sistemas trifasicos desequilibrados em ambientes com redes de distribuicao ativas e inteligentes (smart-grid) distribuicao operacao de sistemas de energia eletrica","6.2",6.2,"sim"
"264",264,"ANEEL-PD-05697-2810","ANEEL","2011-08-09","2014-02-07",913,"Desenvolvimento de Metodologia de Cálculo de Aterramento Considerando a Sazonalidade das Condições Ambientais","CANCELADO",1539825,676308.680175246,"CELESC DISTRIBUIÇÃO S.A","Empresa Privada","Não se Aplica",NA,"Empresa Privada",NA,NA,"Publicamente Orientado",NA,613906.133625411,62402.5465498357,0,0,0,0,"desenvolvimento de metodologia de calculo de aterramento considerando a sazonalidade das condicoes ambientais distribuicao supervisao, controle e protecao de sistemas de energia eletrica","6.2",NA,"não"
"265",265,"ANEEL-PD-05697-2910","ANEEL","2011-08-09","2013-08-08",730,"Desenvolvimento de um Sistema para Monitoramento Remoto da Qualidade da Energia Utilizando Tecnologia WI-FI em Alimentadores","CANCELADO",1100456,330136.8,"CELESC DISTRIBUIÇÃO S.A","Empresa Privada","Não se Aplica",NA,"Empresa Privada",NA,NA,"Publicamente Orientado",NA,330136.8,0,0,0,0,0,"desenvolvimento de um sistema para monitoramento remoto da qualidade da energia utilizando tecnologia wi-fi em alimentadores distribuicao qualidade e confiabilidade dos servicos de energia eletrica","nenhuma categoria encontrada",NA,"não"
"266",266,"ANEEL-PD-05697-3110","ANEEL","2011-08-09","2018-11-22",2662,"Desenvolvimento de um Dispositivo Móvel Autônomo para Regulação e Melhoria da Qualidade da Tensão em Redes Aéreas de Distribuição de Energia Elétrica.","CONCLUÍDO",1064120,857851.81066867,"CELESC DISTRIBUIÇÃO S.A","Empresa Privada","Não se Aplica","CELESC DISTRIBUIÇÃO S.A","Empresa Privada","SC","S","Publicamente Orientado",NA,145507.01728024,145507.01728024,145507.01728024,145906.761833208,145507.01728024,0,"desenvolvimento de um dispositivo movel autonomo para regulacao e melhoria da qualidade da tensao em redes aereas de distribuicao de energia eletrica. distribuicao qualidade e confiabilidade dos servicos de energia eletrica","""5.2"", ""6.2""",6.2,"sim"
"267",267,"ANEEL-PD-05697-2010","ANEEL","2011-08-10","2013-08-09",730,"Estudo da Viabilidade de Gerenciamento de Rede de Distribuição de Energia Elétrica Associando PLC e SNMP","CANCELADO",866742.87,261210.18,"CELESC DISTRIBUIÇÃO S.A","Empresa Privada","Não se Aplica",NA,"Empresa Privada",NA,NA,"Publicamente Orientado",NA,261210.18,0,0,0,0,0,"estudo da viabilidade de gerenciamento de rede de distribuicao de energia eletrica associando plc e snmp distribuicao supervisao, controle e protecao de sistemas de energia eletrica","6.2",NA,"não"
"268",268,"ANEEL-PD-04951-0405","ANEEL","2011-08-10","2015-05-25",1384,"GT405 - PA-Desenvolvimento de Modelo de Relacionamento com Clientes Corporativos baseado na Eficiência Energética","CONCLUÍDO",1066680.8,672070.561849711,"CEMIG GERAÇÃO E TRANSMISSÃO S.A","Empresa Privada","Não se Aplica","CEMIG GERAÇÃO E TRANSMISSÃO S.A","Empresa Privada","MG","SE","Publicamente Orientado",NA,280543.216184971,280543.216184971,110984.129479769,0,0,0,"gt405 - pa-desenvolvimento de modelo de relacionamento com clientes corporativos baseado na eficiencia energetica geracao qualidade e confiabilidade dos servicos de energia eletrica","1.4",1.4,"sim"
"269",269,"ANEEL-PD-05697-3210","ANEEL","2011-08-10","2013-08-09",730,"Sistema de Mapeamento de Perdas Eletromagnéticas em Núcleo de Motores Elétricos","CANCELADO",596240,179688.767123288,"CELESC DISTRIBUIÇÃO S.A","Empresa Privada","Não se Aplica",NA,"Empresa Privada",NA,NA,"Publicamente Orientado",NA,179688.767123288,0,0,0,0,0,"sistema de mapeamento de perdas eletromagneticas em nucleo de motores eletricos distribuicao eficiencia energetica","1.4",1.1,"sim"
"270",270,"ANEEL-PD-05697-3310","ANEEL","2011-08-10","2018-01-16",2351,"Controles para Funções Não Críticas em Refrigeradores","CONCLUÍDO",864445,675083.377286261,"CELESC DISTRIBUIÇÃO S.A","Empresa Privada","Não se Aplica","CELESC DISTRIBUIÇÃO S.A","Empresa Privada","SC","S","Publicamente Orientado",NA,133840.059549128,133840.059549128,133840.059549128,134207.752020417,133840.059549128,0,"controles para funcoes nao criticas em refrigeradores distribuicao eficiencia energetica","1.4",1.4,"sim"
"271",271,"ANEEL-PD-05697-3410","ANEEL","2011-08-10","2013-02-07",547,"Controle de Baixo Custo para Motores de Alta Eficiência com Correção de Fator de Potência Ativo","CANCELADO",819490,55431.6819012797,"CELESC DISTRIBUIÇÃO S.A","Empresa Privada","Não se Aplica",NA,"Empresa Privada",NA,NA,"Publicamente Orientado",NA,55431.6819012797,0,0,0,0,0,"controle de baixo custo para motores de alta eficiencia com correcao de fator de potencia ativo distribuicao eficiencia energetica","""1.4"", ""3.1""",1.1,"sim"
"272",272,"ANEEL-PD-05697-3510","ANEEL","2011-08-10","2014-08-09",1095,"Desenvolvimento de Sistemas de Lubrificação Através da Nanotecnologia","CANCELADO",1489690,794501.333333333,"CELESC DISTRIBUIÇÃO S.A","Empresa Privada","Não se Aplica",NA,"Empresa Privada",NA,NA,"Publicamente Orientado",NA,495202.885844749,299298.447488584,0,0,0,0,"desenvolvimento de sistemas de lubrificacao atraves da nanotecnologia distribuicao eficiencia energetica","1.4",1.4,"sim"
"273",273,"ANEEL-PD-05697-3710","ANEEL","2011-08-10","2013-08-09",730,"Motor Linear para Compressores","CANCELADO",401800,121090.410958904,"CELESC DISTRIBUIÇÃO S.A","Empresa Privada","Não se Aplica",NA,"Empresa Privada",NA,NA,"Publicamente Orientado",NA,121090.410958904,0,0,0,0,0,"motor linear para compressores distribuicao eficiencia energetica","1.4",1.2,"sim"
"274",274,"ANEEL-PD-05697-3810","ANEEL","2011-08-10","2018-01-02",2337,"Motor Elétrico SRM","CONCLUÍDO",627620,489312.640136928,"CELESC DISTRIBUIÇÃO S.A","Empresa Privada","Não se Aplica","CELESC DISTRIBUIÇÃO S.A","Empresa Privada","SC","S","Publicamente Orientado",NA,97755.1048352589,97755.1048352589,97755.1048352589,98023.6628155755,97755.1048352589,0,"motor eletrico srm distribuicao eficiencia energetica","1.4",1.1,"sim"
"275",275,"ANEEL-PD-05697-3910","ANEEL","2011-08-10","2013-02-07",547,"Estudo da Refrigeração por Compressão Mecânica a Vapor para Eletrônica de Potência","CANCELADO",821240,55550.054844607,"CELESC DISTRIBUIÇÃO S.A","Empresa Privada","Não se Aplica",NA,"Empresa Privada",NA,NA,"Publicamente Orientado",NA,55550.054844607,0,0,0,0,0,"estudo da refrigeracao por compressao mecanica a vapor para eletronica de potencia distribuicao eficiencia energetica","1.4",1.2,"sim"
"276",276,"ANEEL-PD-05697-4010","ANEEL","2011-08-11","2013-08-10",730,"Desenvolvimento de Compressores de Alta Eficiência Energética para Condicionadores de Ar","CANCELADO",3048150,922796.095890411,"CELESC DISTRIBUIÇÃO S.A","Empresa Privada","Não se Aplica",NA,"Empresa Privada",NA,NA,"Publicamente Orientado",NA,922796.095890411,0,0,0,0,0,"desenvolvimento de compressores de alta eficiencia energetica para condicionadores de ar distribuicao eficiencia energetica","""1.4"", ""3.1""",1.2,"sim"
"277",277,"ANEEL-PD-05697-4110","ANEEL","2011-08-11","2013-08-10",730,"Novas Tecnologias para Melhoria da Eficiência Energética em Linha Branca","CANCELADO",2926760,886046.520547945,"CELESC DISTRIBUIÇÃO S.A","Empresa Privada","Não se Aplica",NA,"Empresa Privada",NA,NA,"Publicamente Orientado",NA,886046.520547945,0,0,0,0,0,"novas tecnologias para melhoria da eficiencia energetica em linha branca distribuicao eficiencia energetica","1.4",NA,"não"
"278",278,"ANEEL-PD-05697-3010","ANEEL","2011-08-11","2013-02-08",547,"Desenvolvimento de uma Plataforma de Comunicação Crítica para Automação Remota de Religadores e Transformadores","CANCELADO",1631042.8,113308.274954296,"CELESC DISTRIBUIÇÃO S.A","Empresa Privada","Não se Aplica",NA,"Empresa Privada",NA,NA,"Publicamente Orientado",NA,113308.274954296,0,0,0,0,0,"desenvolvimento de uma plataforma de comunicacao critica para automacao remota de religadores e transformadores distribuicao supervisao, controle e protecao de sistemas de energia eletrica","6.2",NA,"não"
"279",279,"ANEEL-PD-05697-3610","ANEEL","2011-08-11","2013-08-10",730,"PA-Desenvolvimento de Nova Geração de Compressores de Alta Eficiência Customizados a Refrigeradores","CANCELADO",1541590,466700.534246575,"CELESC DISTRIBUIÇÃO S.A","Empresa Privada","Não se Aplica",NA,"Empresa Privada",NA,NA,"Publicamente Orientado",NA,466700.534246575,0,0,0,0,0,"pa-desenvolvimento de nova geracao de compressores de alta eficiencia customizados a refrigeradores distribuicao eficiencia energetica","""1.4"", ""3.1""",1.2,"sim"
"280",280,"ANEEL-PD-00043-1011","ANEEL","2011-08-11","2014-10-21",1167,"Aperfeiçoamento e definição das características básicas da linha de produção e do sistema de indicação de falta, para obtenção de um cabeça-de-série, e implementação na rede de distribuição da Celpe","CONCLUÍDO",1477279.62,831681.842622108,"COMPANHIA ENERGÉTICA DE PERNAMBUCO","Empresa Privada","Não se Aplica","COMPANHIA ENERGÉTICA DE PERNAMBUCO","Empresa Privada","PE","NE","Publicamente Orientado",NA,460779.590128535,370902.252493573,0,0,0,0,"aperfeicoamento e definicao das caracteristicas basicas da linha de producao e do sistema de indicacao de falta, para obtencao de um cabeca-de-serie, e implementacao na rede de distribuicao da celpe distribuicao supervisao, controle e protecao de sistemas de energia eletrica","6.2",6.2,"sim"
"281",281,"ANEEL-PD-00404-0009","ANEEL","2011-08-18","2018-08-20",2559,"SISTEMA INTELIGENTE DE DESPACHO MÓVEL DE ORDENS DE SERVIÇO TÉCNICAS E COMERCIAIS.","CONCLUÍDO",2791544,2238471.39038687,"ENERGISA MATO GROSSO DO SUL - DISTRIBUIDORA DE ENERGIA S.A.","Empresa Privada","Não se Aplica","ENERGISA MATO GROSSO DO SUL - DISTRIBUIDORA DE ENERGIA S.A.","Empresa Privada","MS","CO","Publicamente Orientado",NA,397077.771004298,397077.771004298,397077.771004298,398168.644001563,397077.771004298,0,"sistema inteligente de despacho movel de ordens de servico tecnicas e comerciais. distribuicao outros","5.2",6.2,"sim"
"282",282,"ANEEL-PD-04950-0392","ANEEL","2011-08-26","2019-04-10",2784,"Desenvolvimento de supercapacitor para utilização como buffer de bateria em carros elétricos","CONCLUÍDO",1540352.89,1263709.05199713,"CEMIG DISTRIBUIÇÃO S.A","Empresa Privada","Não se Aplica","CEMIG DISTRIBUIÇÃO S.A","Empresa Privada","MG","SE","Publicamente Orientado",NA,201396.714066092,201396.714066092,201396.714066092,201950.001742098,201396.714066092,0,"desenvolvimento de supercapacitor para utilizacao como buffer de bateria em carros eletricos distribuicao eficiencia energetica","""1.4"", ""6.3""",1.3,"sim"
"283",283,"ANEEL-PD-00371-0009","ANEEL","2011-08-26","2014-08-25",1095,"Metodologias para Monitoramento da Tensão em Redes de Distribuição de Média e Baixa Tensão visando o Atendimento às Recomendações do PRODIST sobre a Qualidade da Tensão em Regime Permanente","EM ATRASO",1339890.24,734186.432876712,"EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A.","Empresa Privada","Não se Aplica",NA,"Empresa Privada",NA,NA,"Publicamente Orientado",NA,445406.435945206,288779.996931507,0,0,0,0,"metodologias para monitoramento da tensao em redes de distribuicao de media e baixa tensao visando o atendimento as recomendacoes do prodist sobre a qualidade da tensao em regime permanente distribuicao outros","nenhuma categoria encontrada",6.2,"sim"
"284",284,"ANEEL-PD-00383-0055","ANEEL","2011-08-29","2016-12-20",1940,"Estudo dos efeitos da implementação de tecnologias de Redes Elétricas Inteligentes (smart city)- projeto CIDADE INTELIGENTE BÚZIOS","CONCLUÍDO",17807830.27,13273259.0569175,"AMPLA ENERGIA E SERVIÇOS S.A.","Empresa Privada","Não se Aplica","AMPLA ENERGIA E SERVIÇOS S.A.","Empresa Privada","RJ","SE","Publicamente Orientado",NA,3341262.9991134,3341262.9991134,3341262.9991134,3249470.05957732,0,0,"estudo dos efeitos da implementacao de tecnologias de redes eletricas inteligentes (smart city)- projeto cidade inteligente buzios distribuicao outros","nenhuma categoria encontrada",6.2,"sim"
"285",285,"ANEEL-PD-00396-0028","ANEEL","2011-08-30","2019-09-18",2941,"Simulador de comportamento para atividades operacionais voltado à área de segurança","CONCLUÍDO",1233740,1025669.60217613,"RGE SUL DISTRIBUIDORA DE ENERGIA S.A.","Empresa Privada","Não se Aplica",NA,"Empresa Privada",NA,NA,"Publicamente Orientado",NA,152696.824209453,152696.824209453,152696.824209453,153116.320979259,152696.824209453,0,"simulador de comportamento para atividades operacionais voltado a area de seguranca distribuicao seguranca","nenhuma categoria encontrada",6.2,"sim"
"286",286,"ANEEL-PD-00043-1111","ANEEL","2011-08-31","2014-12-12",1199,"Sistemas de Bombeamento de Água com Sistemas Fotovoltaicos e Tecnologia de Bombeamento Nacional - Zona Rural de Pernambuco","CONCLUÍDO",887750.89,524950.276071726,"COMPANHIA ENERGÉTICA DE PERNAMBUCO","Empresa Privada","Não se Aplica","COMPANHIA ENERGÉTICA DE PERNAMBUCO","Empresa Privada","PE","NE","Publicamente Orientado",NA,269509.027489575,255441.248582152,0,0,0,0,"sistemas de bombeamento de agua com sistemas fotovoltaicos e tecnologia de bombeamento nacional - zona rural de pernambuco distribuicao fontes alternativas de geracao de energia eletrica","2.1",3.1,"sim"
"287",287,"ANEEL-PD-06585-1106","ANEEL","2011-09-01","2016-01-11",1593,"Desenvolvimento de software para simulação e análise dos distúrbios da qualidade da energia elétrica no contexto do PRODIST","CONCLUÍDO",1809562,1251812.50721908,"ENERGISA MINAS GERAIS - DISTRIBUIDORA DE ENERGIA S.A.","Empresa Privada","Não se Aplica","ENERGISA MINAS GERAIS - DISTRIBUIDORA DE ENERGIA S.A.","Empresa Privada","MG","SE","Publicamente Orientado",NA,413484.349026993,413484.349026993,413484.349026993,11359.4601381042,0,0,"desenvolvimento de software para simulacao e analise dos disturbios da qualidade da energia eletrica no contexto do prodist distribuicao qualidade e confiabilidade dos servicos de energia eletrica","nenhuma categoria encontrada",6.2,"sim"
"288",288,"ANEEL-PD-00044-0015","ANEEL","2011-09-02","2014-09-01",1095,"Recursos Técnicos para a Redução de Conflitos entre Redes de Distribuição e Processos de Produção de Cana-de-açúcar em Alagoas","EM ATRASO",1469715,814718.726027397,"EQUATORIAL ALAGOAS DISTRIBUIDORA DE ENERGIA S.A.","Empresa Privada","Não se Aplica",NA,"Empresa Privada",NA,NA,"Publicamente Orientado",NA,488562.794520548,326155.931506849,0,0,0,0,"recursos tecnicos para a reducao de conflitos entre redes de distribuicao e processos de producao de cana-de-acucar em alagoas distribuicao meio ambiente","3.4",3.4,"sim"
"289",289,"ANEEL-PD-00044-0016","ANEEL","2011-09-02","2014-01-01",852,"Modelo de Avaliação de Alternativas de Suprimento a Instalações de Saneamento Incluindo Técnicas de Gerenciamento de Carga Pelo Lado da Demanda (GLD)","CANCELADO",2770939,1183828.39906103,"EQUATORIAL ALAGOAS DISTRIBUIDORA DE ENERGIA S.A.","Empresa Privada","Não se Aplica",NA,"Empresa Privada",NA,NA,"Publicamente Orientado",NA,1183828.39906103,0,0,0,0,0,"modelo de avaliacao de alternativas de suprimento a instalacoes de saneamento incluindo tecnicas de gerenciamento de carga pelo lado da demanda (gld) distribuicao eficiencia energetica","""1.4"", ""6.2""",NA,"não"
"290",290,"ANEEL-PD-04950-0437","ANEEL","2011-09-05","2015-05-19",1352,"DE - Desenvolvimento de software com base em técnicas de análises de tempo-frequência aplicadas em detecção de padrões de irregularidades nos consumidores da CEMIG","CONCLUÍDO",1568063,1004395.38313609,"CEMIG DISTRIBUIÇÃO S.A","Empresa Privada","Não se Aplica",NA,"Empresa Privada",NA,NA,"Publicamente Orientado",NA,422170.807692308,422170.807692308,160053.767751479,0,0,0,"de - desenvolvimento de software com base em tecnicas de analises de tempo-frequencia aplicadas em deteccao de padroes de irregularidades nos consumidores da cemig distribuicao medicao, faturamento e combate a perdas comerciais","nenhuma categoria encontrada",6.2,"sim"
"291",291,"ANEEL-PD-00051-2011","ANEEL","2011-09-05","2014-09-04",1095,"Estudo da qualidade química, física, radiométrica e biológica da água e sedimentos em bacia hidrográfica sob influência de mineração de urânio e elevada radioatividade natural","EM ATRASO",3003320,1673082.37442922,"DME DISTRIBUIÇÃO S.A. - DMED","Empresa Privada","Não se Aplica","DME DISTRIBUIÇÃO S.A. - DMED","Empresa Privada","MG","SE","Publicamente Orientado",NA,998363.908675799,674718.465753425,0,0,0,0,"estudo da qualidade quimica, fisica, radiometrica e biologica da agua e sedimentos em bacia hidrografica sob influencia de mineracao de uranio e elevada radioatividade natural distribuicao gestao de bacias e reservatorios","4.1",4.1,"sim"
"292",292,"ANEEL-PD-00044-0017","ANEEL","2011-09-06","2017-01-09",1952,"Rede de sensores sem fio com processamento embarcado para determinação do torque dinâmico, eficiência e diagnóstico de falhas em motores de indução em ambiente industrial","CONCLUÍDO",340380,255459.375,"EQUATORIAL ALAGOAS DISTRIBUIDORA DE ENERGIA S.A.","Empresa Privada","Não se Aplica","COMPANHIA ENERGÉTICA DE ALAGOAS - CEAL","Empresa Privada","AL","NE","Publicamente Orientado",NA,63472.5,63472.5,63472.5,63646.875,1395,0,"rede de sensores sem fio com processamento embarcado para determinacao do torque dinamico, eficiencia e diagnostico de falhas em motores de inducao em ambiente industrial distribuicao eficiencia energetica","1.4",1.1,"sim"
"293",293,"ANEEL-PD-00044-0018","ANEEL","2011-09-06","2013-09-05",730,"Dispositivos Sinalizadores Digitais Inteligentes - DSDIs","CANCELADO",834176.98,282248.923369863,"EQUATORIAL ALAGOAS DISTRIBUIDORA DE ENERGIA S.A.","Empresa Privada","Não se Aplica",NA,"Empresa Privada",NA,NA,"Publicamente Orientado",NA,282248.923369863,0,0,0,0,0,"dispositivos sinalizadores digitais inteligentes - dsdis distribuicao supervisao, controle e protecao de sistemas de energia eletrica","6.2",NA,"não"
"294",294,"ANEEL-PD-00382-0077","ANEEL","2011-09-12","2014-09-11",1095,"Desenvolvimento de Modelo Empírico de Crescimento Vegetativo e Catalogação Eletrônica da Vegetação: Projeto cooperado AMPLA e LIGHT","EM ATRASO",2584395,1456229.87671233,"LIGHT SERVIÇOS DE ELETRICIDADE S A","Empresa Privada","Não se Aplica",NA,"Empresa Privada",NA,NA,"Publicamente Orientado",NA,859104.821917808,597125.054794521,0,0,0,0,"desenvolvimento de modelo empirico de crescimento vegetativo e catalogacao eletronica da vegetacao: projeto cooperado ampla e light distribuicao qualidade e confiabilidade dos servicos de energia eletrica","nenhuma categoria encontrada",6.2,"sim"
"295",295,"ANEEL-PD-00044-0019","ANEEL","2011-09-21","2013-09-20",730,"Desenvolvimento experimental de protótipo de equipamento para monitoramento simultâneo e distribuído de parâmetros elétricos em redes secundárias e consumidores finais empregando comunicação sem fio.","CANCELADO",558174,200330.942465753,"EQUATORIAL ALAGOAS DISTRIBUIDORA DE ENERGIA S.A.","Empresa Privada","Não se Aplica",NA,"Empresa Privada",NA,NA,"Publicamente Orientado",NA,200330.942465753,0,0,0,0,0,"desenvolvimento experimental de prototipo de equipamento para monitoramento simultaneo e distribuido de parametros eletricos em redes secundarias e consumidores finais empregando comunicacao sem fio. distribuicao medicao, faturamento e combate a perdas comerciais","nenhuma categoria encontrada",NA,"não"
"296",296,"ANEEL-PD-00044-0020","ANEEL","2011-09-21","2019-04-10",2758,"Novos materiais isolantes e condutivos para redução de perdas técnicas na distribuição de energia elétrica.","CONCLUÍDO",778260,644505.38071066,"EQUATORIAL ALAGOAS DISTRIBUIDORA DE ENERGIA S.A.","Empresa Privada","Não se Aplica",NA,"Empresa Privada",NA,NA,"Publicamente Orientado",NA,102714.517766497,102714.517766497,102714.517766497,102996.700507614,102714.517766497,0,"novos materiais isolantes e condutivos para reducao de perdas tecnicas na distribuicao de energia eletrica. distribuicao planejamento de sistemas de energia eletrica","7.1",7.1,"sim"
