"","id","titulo_projeto","categorias","cat2","existe"
"69","ANEEL-PD-04950-0363","D363 - PA - Desenvolvimento de Modelos, Métodos e Ferramentas Computacionais de Apoio à Tomada de Decisões na Gestão Estratégica das Empresas de Energia Elétrica","nenhuma categoria encontrada",6.2,"sim"
"70","ANEEL-PD-04951-0339","GT339 - PA - SISTEMA DE MONITORAMENTO E DETECAO DE ROMPIMENTO DE CABOS EM LTs DE RELIGAMENTO ESPECIAL - REFLECTOMETRO DE POTÊNCIA.","6.2",6.2,"sim"
"71","ANEEL-PD-04951-0349","GT349 - DE - Metodologia para calcular o volume e a distribuição de sedimentos em reservatórios de barragens","nenhuma categoria encontrada",3.6,"sim"
"72","ANEEL-PD-04951-0340","PA - Desenvolvimento de Nova Metodologia para Diagnótico da Corrosão de Fundações em Grelhas e Dispositivos de Estaiamento","6.2",6.2,"sim"
"73","ANEEL-PD-00043-0809","Desenvolvimento de um sistema supervisor de controle da operação do sistema elétrico em lugares isolados utilizando predominantemente fontes alternativas de energia - Caso Ilha de Fernando de Noronha.","6.2",3.7,"sim"
"74","ANEEL-PD-00043-0909","Construção e Aplicação de Supressor Magnético de Afundamentos para Cargas Sensíveis Industrial - SMASI","nenhuma categoria encontrada",6.2,"sim"
"75","ANEEL-PD-04950-0311","D311 - DE - Robô de Inspeção de Linha","6.2",6.2,"sim"
"76","ANEEL-PD-05707-0943","Desenvolvimentos de Cátodos de Células a Combustível de Óxido Sólido de Temperatura Intermediaria","""1.4"", ""3.1""",5.2,"sim"
"77","ANEEL-PD-05707-0941","Desenvolvimento de Metodologia para Avaliação e Projeto de Sistemas de Aterramento Embutido em Concreto","6.2",6.2,"sim"
"78","ANEEL-PD-00372-0025","Desenvolvimento de Ferramentas para Otimização do Desempenho de Estruturas e Feixes de Cabos de Linhas Aéreas submetidos a Ação de Ventos.","6.2",6.2,"sim"
"79","ANEEL-PD-00372-0023","Desenvolvimento de nano materiais para revestimento de turbinas hidráulicas visando aumento da vida útil das mesmas","nenhuma categoria encontrada",7.1,"sim"
"80","ANEEL-PD-00372-0022","Desenvolvimento de um Sistema Indicador de Qualidade de Água Específico para a Região Amazônica.","nenhuma categoria encontrada",6.1,"sim"
"81","ANEEL-PD-00372-0027","Desenvolvimento de protótipo de instrumento que realiza diagnóstico, de forma autônoma e automática,  de falhas mecânicas de hidrogeradores, embarcando técnicas de inteligência artificial.","6.2",6.2,"sim"
"82","ANEEL-PD-05161-0004","Dinâmica da ictiofauna e condicionantes ambientais nos reservatórios da LIGHT e em trechos  do rio Paraíba do Sul","nenhuma categoria encontrada",6.2,"sim"
"83","ANEEL-PD-05161-0005","Avaliação do potencial de utilização ecologicamente compatível da biomassa de macrófitas aquáticas geradas no processo de controle mecânico nos reservatórios da Light Energia S.A","""3.4"", ""6.2""",3.4,"sim"
"84","ANEEL-PD-05785-0947","Desenvolvimento de metodologia para medição dos potenciais em malhas de terra de SEs urbanas","nenhuma categoria encontrada",6.2,"sim"
"85","ANEEL-PD-00048-0084","Técnicas de Controle de Inserção Rápida de Reatores Derivação","6.2",NA,"não"
"86","ANEEL-PD-00048-0055","Desenvolvimento de um modelo sustentável voltado à mitigação de processos erosivos aplicado a faixas de servidão de Linhas de Transmissão e assoreamento de microbacias","6.2",NA,"não"
"87","ANEEL-PD-00048-0068","Elaboração de Plano de Insvestigação Geotécnica com Base em Mapas Pedológicos..para estudo de Solos para em Linhas de Transmissão","6.2",NA,"não"
"88","ANEEL-PD-00390-1056","Desenvolvimento de conector perfurante para condutores do tipo protegido em redes de distribuição de alta tensão de 15kV, 25kV e 34,5kV","""3.1"", ""6.2""",6.2,"sim"
"89","ANEEL-PD-04951-0350","GT350 - PA - Metodologia para previsão de curto, médio e longo prazo de descargas atmosféricas e a visualização na plataforma Google Maps - Incorporação das mudanças climáticas na previsão","6.2",6.2,"sim"
